query_id,repository,category,answerable,k,precision,recall,mrr,ndcg,returned,unjudged,judged_fraction,latency_p50_ms,latency_p95_ms
click-01,click,symbol,True,1,0.0,0.0,0.0,0.0,1,1,0.0,6.9977,7.09418
click-01,click,symbol,True,5,0.2,1.0,0.5,0.6309297535714574,5,4,0.2,6.9977,7.09418
click-01,click,symbol,True,10,0.1,1.0,0.5,0.6309297535714574,10,9,0.1,6.9977,7.09418
click-01,click,symbol,True,20,0.05,1.0,0.5,0.6309297535714574,20,19,0.05,6.9977,7.09418
click-02,click,symbol,True,1,0.0,0.0,0.0,0.0,1,1,0.0,4.4498,4.60568
click-02,click,symbol,True,5,0.2,1.0,0.5,0.6309297535714574,5,4,0.2,4.4498,4.60568
click-02,click,symbol,True,10,0.1,1.0,0.5,0.6309297535714574,10,9,0.1,4.4498,4.60568
click-02,click,symbol,True,20,0.05,1.0,0.5,0.6309297535714574,20,19,0.05,4.4498,4.60568
click-03,click,symbol,True,1,0.0,0.0,0.0,0.0,1,1,0.0,5.0408,5.4863
click-03,click,symbol,True,5,0.2,1.0,0.5,0.6309297535714574,5,4,0.2,5.0408,5.4863
click-03,click,symbol,True,10,0.1,1.0,0.5,0.6309297535714574,10,9,0.1,5.0408,5.4863
click-03,click,symbol,True,20,0.05,1.0,0.5,0.6309297535714574,20,19,0.05,5.0408,5.4863
click-04,click,symbol,True,1,1.0,1.0,1.0,1.0,1,0,1.0,3.1567,3.7328799999999998
click-04,click,symbol,True,5,0.2,1.0,1.0,1.0,5,4,0.2,3.1567,3.7328799999999998
click-04,click,symbol,True,10,0.1,1.0,1.0,1.0,10,9,0.1,3.1567,3.7328799999999998
click-04,click,symbol,True,20,0.05,1.0,1.0,1.0,20,19,0.05,3.1567,3.7328799999999998
click-05,click,behavior,True,1,1.0,1.0,1.0,1.0,1,0,1.0,4.655,5.213
click-05,click,behavior,True,5,0.2,1.0,1.0,1.0,5,4,0.2,4.655,5.213
click-05,click,behavior,True,10,0.1,1.0,1.0,1.0,10,9,0.1,4.655,5.213
click-05,click,behavior,True,20,0.05,1.0,1.0,1.0,20,19,0.05,4.655,5.213
click-06,click,behavior,True,1,1.0,1.0,1.0,1.0,1,0,1.0,4.8589,4.87348
click-06,click,behavior,True,5,0.2,1.0,1.0,1.0,5,4,0.2,4.8589,4.87348
click-06,click,behavior,True,10,0.1,1.0,1.0,1.0,10,9,0.1,4.8589,4.87348
click-06,click,behavior,True,20,0.05,1.0,1.0,1.0,20,19,0.05,4.8589,4.87348
click-07,click,behavior,True,1,0.0,0.0,0.0,0.0,1,1,0.0,4.4893,4.9888900000000005
click-07,click,behavior,True,5,0.2,1.0,0.5,0.6309297535714574,5,4,0.2,4.4893,4.9888900000000005
click-07,click,behavior,True,10,0.1,1.0,0.5,0.6309297535714574,10,9,0.1,4.4893,4.9888900000000005
click-07,click,behavior,True,20,0.05,1.0,0.5,0.6309297535714574,20,19,0.05,4.4893,4.9888900000000005
click-08,click,behavior,True,1,1.0,1.0,1.0,1.0,1,0,1.0,4.1523,4.3610999999999995
click-08,click,behavior,True,5,0.2,1.0,1.0,1.0,5,4,0.2,4.1523,4.3610999999999995
click-08,click,behavior,True,10,0.1,1.0,1.0,1.0,10,9,0.1,4.1523,4.3610999999999995
click-08,click,behavior,True,20,0.05,1.0,1.0,1.0,20,19,0.05,4.1523,4.3610999999999995
click-09,click,behavior,True,1,1.0,1.0,1.0,1.0,1,0,1.0,3.9389,4.088480000000001
click-09,click,behavior,True,5,0.2,1.0,1.0,1.0,5,4,0.2,3.9389,4.088480000000001
click-09,click,behavior,True,10,0.1,1.0,1.0,1.0,10,9,0.1,3.9389,4.088480000000001
click-09,click,behavior,True,20,0.05,1.0,1.0,1.0,20,19,0.05,3.9389,4.088480000000001
click-10,click,behavior,True,1,1.0,1.0,1.0,1.0,1,0,1.0,5.5102,5.7964
click-10,click,behavior,True,5,0.2,1.0,1.0,1.0,5,4,0.2,5.5102,5.7964
click-10,click,behavior,True,10,0.1,1.0,1.0,1.0,10,9,0.1,5.5102,5.7964
click-10,click,behavior,True,20,0.05,1.0,1.0,1.0,20,19,0.05,5.5102,5.7964
click-11,click,behavior,True,1,1.0,1.0,1.0,1.0,1,0,1.0,7.0658,8.06039
click-11,click,behavior,True,5,0.2,1.0,1.0,1.0,5,4,0.2,7.0658,8.06039
click-11,click,behavior,True,10,0.1,1.0,1.0,1.0,10,9,0.1,7.0658,8.06039
click-11,click,behavior,True,20,0.05,1.0,1.0,1.0,20,19,0.05,7.0658,8.06039
click-12,click,behavior,True,1,0.0,0.0,0.0,0.0,1,1,0.0,4.8294,4.9311
click-12,click,behavior,True,5,0.2,1.0,0.5,0.6309297535714574,5,4,0.2,4.8294,4.9311
click-12,click,behavior,True,10,0.1,1.0,0.5,0.6309297535714574,10,9,0.1,4.8294,4.9311
click-12,click,behavior,True,20,0.05,1.0,0.5,0.6309297535714574,20,19,0.05,4.8294,4.9311
click-13,click,cross_file,True,1,1.0,0.5,1.0,1.0,1,0,1.0,7.1253,7.65288
click-13,click,cross_file,True,5,0.4,1.0,1.0,1.0,5,3,0.4,7.1253,7.65288
click-13,click,cross_file,True,10,0.2,1.0,1.0,1.0,10,8,0.2,7.1253,7.65288
click-13,click,cross_file,True,20,0.1,1.0,1.0,1.0,20,18,0.1,7.1253,7.65288
click-14,click,cross_file,True,1,0.0,0.0,0.0,0.0,1,1,0.0,7.3683,8.66862
click-14,click,cross_file,True,5,0.4,1.0,0.3333333333333333,0.5706417189553201,5,3,0.4,7.3683,8.66862
click-14,click,cross_file,True,10,0.2,1.0,0.3333333333333333,0.5706417189553201,10,8,0.2,7.3683,8.66862
