query_id,repository,category,answerable,k,precision,recall,mrr,ndcg,returned,unjudged,judged_fraction,latency_p50_ms,latency_p95_ms
click-01,click,symbol,True,1,0.0,0.0,0.0,0.0,1,1,0.0,15.8599,16.285870000000003
click-01,click,symbol,True,5,0.0,0.0,0.0,0.0,5,5,0.0,15.8599,16.285870000000003
click-01,click,symbol,True,10,0.0,0.0,0.0,0.0,10,10,0.0,15.8599,16.285870000000003
click-01,click,symbol,True,20,0.0,0.0,0.0,0.0,20,20,0.0,15.8599,16.285870000000003
click-02,click,symbol,True,1,0.0,0.0,0.0,0.0,1,1,0.0,7.553,7.63112
click-02,click,symbol,True,5,0.0,0.0,0.0,0.0,5,5,0.0,7.553,7.63112
click-02,click,symbol,True,10,0.0,0.0,0.0,0.0,10,10,0.0,7.553,7.63112
click-02,click,symbol,True,20,0.05,1.0,0.07142857142857142,0.2559580248098155,20,19,0.05,7.553,7.63112
click-03,click,symbol,True,1,0.0,0.0,0.0,0.0,1,1,0.0,12.8872,18.22501
click-03,click,symbol,True,5,0.2,1.0,0.5,0.6309297535714574,5,4,0.2,12.8872,18.22501
click-03,click,symbol,True,10,0.1,1.0,0.5,0.6309297535714574,10,9,0.1,12.8872,18.22501
click-03,click,symbol,True,20,0.05,1.0,0.5,0.6309297535714574,20,19,0.05,12.8872,18.22501
click-04,click,symbol,True,1,1.0,1.0,1.0,1.0,1,0,1.0,6.3192,8.03379
click-04,click,symbol,True,5,0.2,1.0,1.0,1.0,5,4,0.2,6.3192,8.03379
click-04,click,symbol,True,10,0.1,1.0,1.0,1.0,10,9,0.1,6.3192,8.03379
click-04,click,symbol,True,20,0.05,1.0,1.0,1.0,20,19,0.05,6.3192,8.03379
click-05,click,behavior,True,1,1.0,1.0,1.0,1.0,1,0,1.0,9.0881,9.7298
click-05,click,behavior,True,5,0.2,1.0,1.0,1.0,5,4,0.2,9.0881,9.7298
click-05,click,behavior,True,10,0.1,1.0,1.0,1.0,10,9,0.1,9.0881,9.7298
click-05,click,behavior,True,20,0.05,1.0,1.0,1.0,20,19,0.05,9.0881,9.7298
click-06,click,behavior,True,1,1.0,1.0,1.0,1.0,1,0,1.0,9.621,15.815249999999999
click-06,click,behavior,True,5,0.2,1.0,1.0,1.0,5,4,0.2,9.621,15.815249999999999
click-06,click,behavior,True,10,0.1,1.0,1.0,1.0,10,9,0.1,9.621,15.815249999999999
click-06,click,behavior,True,20,0.05,1.0,1.0,1.0,20,19,0.05,9.621,15.815249999999999
click-07,click,behavior,True,1,0.0,0.0,0.0,0.0,1,1,0.0,7.3791,7.58016
