query_id,repository,category,answerable,k,precision,recall,mrr,ndcg,returned,unjudged,judged_fraction,latency_p50_ms,latency_p95_ms
click-01,click,symbol,True,1,0.0,0.0,0.0,0.0,1,1,0.0,14.1811,19.669839999999997
click-01,click,symbol,True,5,0.0,0.0,0.0,0.0,5,5,0.0,14.1811,19.669839999999997
click-01,click,symbol,True,10,0.0,0.0,0.0,0.0,10,10,0.0,14.1811,19.669839999999997
click-01,click,symbol,True,20,0.0,0.0,0.0,0.0,20,20,0.0,14.1811,19.669839999999997
click-02,click,symbol,True,1,0.0,0.0,0.0,0.0,1,1,0.0,8.8891,9.20374
click-02,click,symbol,True,5,0.0,0.0,0.0,0.0,5,5,0.0,8.8891,9.20374
click-02,click,symbol,True,10,0.0,0.0,0.0,0.0,10,10,0.0,8.8891,9.20374
click-02,click,symbol,True,20,0.05,1.0,0.07142857142857142,0.2559580248098155,20,19,0.05,8.8891,9.20374
click-03,click,symbol,True,1,0.0,0.0,0.0,0.0,1,1,0.0,18.9166,24.43279
click-03,click,symbol,True,5,0.2,1.0,0.5,0.6309297535714574,5,4,0.2,18.9166,24.43279
click-03,click,symbol,True,10,0.1,1.0,0.5,0.6309297535714574,10,9,0.1,18.9166,24.43279
click-03,click,symbol,True,20,0.05,1.0,0.5,0.6309297535714574,20,19,0.05,18.9166,24.43279
click-04,click,symbol,True,1,1.0,1.0,1.0,1.0,1,0,1.0,6.7578,7.0648800000000005
click-04,click,symbol,True,5,0.2,1.0,1.0,1.0,5,4,0.2,6.7578,7.0648800000000005
click-04,click,symbol,True,10,0.1,1.0,1.0,1.0,10,9,0.1,6.7578,7.0648800000000005
click-04,click,symbol,True,20,0.05,1.0,1.0,1.0,20,19,0.05,6.7578,7.0648800000000005
click-05,click,behavior,True,1,1.0,1.0,1.0,1.0,1,0,1.0,15.0837,18.12525
click-05,click,behavior,True,5,0.2,1.0,1.0,1.0,5,4,0.2,15.0837,18.12525
click-05,click,behavior,True,10,0.1,1.0,1.0,1.0,10,9,0.1,15.0837,18.12525
click-05,click,behavior,True,20,0.05,1.0,1.0,1.0,20,19,0.05,15.0837,18.12525
click-06,click,behavior,True,1,1.0,1.0,1.0,1.0,1,0,1.0,8.6604,9.98115
click-06,click,behavior,True,5,0.2,1.0,1.0,1.0,5,4,0.2,8.6604,9.98115
click-06,click,behavior,True,10,0.1,1.0,1.0,1.0,10,9,0.1,8.6604,9.98115
click-06,click,behavior,True,20,0.05,1.0,1.0,1.0,20,19,0.05,8.6604,9.98115
click-07,click,behavior,True,1,0.0,0.0,0.0,0.0,1,1,0.0,7.708,8.35069
click-07,click,behavior,True,5,0.2,1.0,0.5,0.6309297535714574,5,4,0.2,7.708,8.35069
click-07,click,behavior,True,10,0.1,1.0,0.5,0.6309297535714574,10,9,0.1,7.708,8.35069
click-07,click,behavior,True,20,0.05,1.0,0.5,0.6309297535714574,20,19,0.05,7.708,8.35069
click-08,click,behavior,True,1,1.0,1.0,1.0,1.0,1,0,1.0,4.8429,5.65686
click-08,click,behavior,True,5,0.2,1.0,1.0,1.0,5,4,0.2,4.8429,5.65686
click-08,click,behavior,True,10,0.1,1.0,1.0,1.0,10,9,0.1,4.8429,5.65686
click-08,click,behavior,True,20,0.05,1.0,1.0,1.0,20,19,0.05,4.8429,5.65686
click-09,click,behavior,True,1,0.0,0.0,0.0,0.0,1,1,0.0,6.7315,7.418469999999999
click-09,click,behavior,True,5,0.0,0.0,0.0,0.0,5,5,0.0,6.7315,7.418469999999999
click-09,click,behavior,True,10,0.0,0.0,0.0,0.0,10,10,0.0,6.7315,7.418469999999999
click-09,click,behavior,True,20,0.0,0.0,0.0,0.0,20,20,0.0,6.7315,7.418469999999999
click-10,click,behavior,True,1,0.0,0.0,0.0,0.0,1,1,0.0,9.7718,15.953899999999997
click-10,click,behavior,True,5,0.0,0.0,0.0,0.0,5,5,0.0,9.7718,15.953899999999997
click-10,click,behavior,True,10,0.1,1.0,0.16666666666666666,0.3562071871080222,10,9,0.1,9.7718,15.953899999999997
click-10,click,behavior,True,20,0.05,1.0,0.16666666666666666,0.3562071871080222,20,19,0.05,9.7718,15.953899999999997
click-11,click,behavior,True,1,1.0,1.0,1.0,1.0,1,0,1.0,9.1114,9.87028
click-11,click,behavior,True,5,0.2,1.0,1.0,1.0,5,4,0.2,9.1114,9.87028
click-11,click,behavior,True,10,0.1,1.0,1.0,1.0,10,9,0.1,9.1114,9.87028
click-11,click,behavior,True,20,0.05,1.0,1.0,1.0,20,19,0.05,9.1114,9.87028
click-12,click,behavior,True,1,0.0,0.0,0.0,0.0,1,1,0.0,9.1164,9.217649999999999
click-12,click,behavior,True,5,0.0,0.0,0.0,0.0,5,5,0.0,9.1164,9.217649999999999
click-12,click,behavior,True,10,0.0,0.0,0.0,0.0,10,10,0.0,9.1164,9.217649999999999
click-12,click,behavior,True,20,0.05,1.0,0.0625,0.24465054211822604,20,19,0.05,9.1164,9.217649999999999
click-13,click,cross_file,True,1,0.0,0.0,0.0,0.0,1,1,0.0,13.279,13.29061
click-13,click,cross_file,True,5,0.0,0.0,0.0,0.0,5,5,0.0,13.279,13.29061
click-13,click,cross_file,True,10,0.1,0.5,0.16666666666666666,0.21840743681816419,10,9,0.1,13.279,13.29061
click-13,click,cross_file,True,20,0.05,0.5,0.16666666666666666,0.21840743681816419,20,19,0.05,13.279,13.29061
click-14,click,cross_file,True,1,0.0,0.0,0.0,0.0,1,1,0.0,11.0542,12.02674
click-14,click,cross_file,True,5,0.0,0.0,0.0,0.0,5,5,0.0,11.0542,12.02674
click-14,click,cross_file,True,10,0.2,0.6666666666666666,0.14285714285714285,0.29207821544003326,10,8,0.2,11.0542,12.02674
click-14,click,cross_file,True,20,0.15,1.0,0.14285714285714285,0.41533405463275685,20,17,0.15,11.0542,12.02674
click-15,click,cross_file,True,1,1.0,0.5,1.0,1.0,1,0,1.0,14.6319,16.95264
click-15,click,cross_file,True,5,0.2,0.5,1.0,0.6131471927654584,5,4,0.2,14.6319,16.95264
click-15,click,cross_file,True,10,0.2,1.0,1.0,0.8315546295836226,10,8,0.2,14.6319,16.95264
click-15,click,cross_file,True,20,0.1,1.0,1.0,0.8315546295836226,20,18,0.1,14.6319,16.95264
click-16,click,cross_file,True,1,0.0,0.0,0.0,0.0,1,1,0.0,8.0492,8.6531
click-16,click,cross_file,True,5,0.4,0.6666666666666666,0.5,0.6291344046077069,5,3,0.4,8.0492,8.6531
click-16,click,cross_file,True,10,0.2,0.6666666666666666,0.5,0.6291344046077069,10,8,0.2,8.0492,8.6531
click-16,click,cross_file,True,20,0.15,1.0,0.5,0.6727869380158924,20,17,0.15,8.0492,8.6531
click-17,click,test,True,1,0.0,0.0,0.0,0.0,1,1,0.0,14.2611,15.29403
click-17,click,test,True,5,0.2,1.0,0.3333333333333333,0.5,5,4,0.2,14.2611,15.29403
click-17,click,test,True,10,0.1,1.0,0.3333333333333333,0.5,10,9,0.1,14.2611,15.29403
click-17,click,test,True,20,0.05,1.0,0.3333333333333333,0.5,20,19,0.05,14.2611,15.29403
click-18,click,test,True,1,0.0,0.0,0.0,0.0,1,1,0.0,14.5537,15.14707
click-18,click,test,True,5,0.2,1.0,0.5,0.6309297535714574,5,4,0.2,14.5537,15.14707
click-18,click,test,True,10,0.1,1.0,0.5,0.6309297535714574,10,9,0.1,14.5537,15.14707
