query_id,repository,category,answerable,k,precision,recall,mrr,ndcg,returned,unjudged,judged_fraction,latency_p50_ms,latency_p95_ms
click-01,click,symbol,True,1,0.0,0.0,0.0,0.0,1,1,0.0,22.8992,30.1802
click-01,click,symbol,True,5,0.0,0.0,0.0,0.0,5,5,0.0,22.8992,30.1802
click-01,click,symbol,True,10,0.0,0.0,0.0,0.0,10,10,0.0,22.8992,30.1802
click-01,click,symbol,True,20,0.0,0.0,0.0,0.0,20,20,0.0,22.8992,30.1802
click-02,click,symbol,True,1,0.0,0.0,0.0,0.0,1,1,0.0,27.3353,33.139669999999995
click-02,click,symbol,True,5,0.2,1.0,0.25,0.4306765580733931,5,4,0.2,27.3353,33.139669999999995
click-02,click,symbol,True,10,0.1,1.0,0.25,0.4306765580733931,10,9,0.1,27.3353,33.139669999999995
click-02,click,symbol,True,20,0.05,1.0,0.25,0.4306765580733931,20,19,0.05,27.3353,33.139669999999995
click-03,click,symbol,True,1,0.0,0.0,0.0,0.0,1,1,0.0,23.4045,26.97795
click-03,click,symbol,True,5,0.0,0.0,0.0,0.0,5,5,0.0,23.4045,26.97795
click-03,click,symbol,True,10,0.0,0.0,0.0,0.0,10,10,0.0,23.4045,26.97795
click-03,click,symbol,True,20,0.0,0.0,0.0,0.0,20,20,0.0,23.4045,26.97795
click-04,click,symbol,True,1,0.0,0.0,0.0,0.0,1,1,0.0,22.2572,31.71908
click-04,click,symbol,True,5,0.0,0.0,0.0,0.0,5,5,0.0,22.2572,31.71908
click-04,click,symbol,True,10,0.0,0.0,0.0,0.0,10,10,0.0,22.2572,31.71908
click-04,click,symbol,True,20,0.05,1.0,0.09090909090909091,0.2789429456511298,20,19,0.05,22.2572,31.71908
click-05,click,behavior,True,1,0.0,0.0,0.0,0.0,1,1,0.0,26.332,29.343130000000002
click-05,click,behavior,True,5,0.0,0.0,0.0,0.0,5,5,0.0,26.332,29.343130000000002
click-05,click,behavior,True,10,0.0,0.0,0.0,0.0,10,10,0.0,26.332,29.343130000000002
click-05,click,behavior,True,20,0.05,1.0,0.0625,0.24465054211822604,20,19,0.05,26.332,29.343130000000002
click-06,click,behavior,True,1,1.0,1.0,1.0,1.0,1,0,1.0,27.8467,29.02741
click-06,click,behavior,True,5,0.2,1.0,1.0,1.0,5,4,0.2,27.8467,29.02741
click-06,click,behavior,True,10,0.1,1.0,1.0,1.0,10,9,0.1,27.8467,29.02741
click-06,click,behavior,True,20,0.05,1.0,1.0,1.0,20,19,0.05,27.8467,29.02741
click-07,click,behavior,True,1,0.0,0.0,0.0,0.0,1,1,0.0,26.774,27.39212
click-07,click,behavior,True,5,0.2,1.0,0.3333333333333333,0.5,5,4,0.2,26.774,27.39212
click-07,click,behavior,True,10,0.1,1.0,0.3333333333333333,0.5,10,9,0.1,26.774,27.39212
click-07,click,behavior,True,20,0.05,1.0,0.3333333333333333,0.5,20,19,0.05,26.774,27.39212
click-08,click,behavior,True,1,0.0,0.0,0.0,0.0,1,1,0.0,23.1151,25.22893
click-08,click,behavior,True,5,0.0,0.0,0.0,0.0,5,5,0.0,23.1151,25.22893
click-08,click,behavior,True,10,0.1,1.0,0.14285714285714285,0.3333333333333333,10,9,0.1,23.1151,25.22893
click-08,click,behavior,True,20,0.05,1.0,0.14285714285714285,0.3333333333333333,20,19,0.05,23.1151,25.22893
click-09,click,behavior,True,1,0.0,0.0,0.0,0.0,1,1,0.0,23.9268,25.39992
click-09,click,behavior,True,5,0.0,0.0,0.0,0.0,5,5,0.0,23.9268,25.39992
click-09,click,behavior,True,10,0.2,1.0,0.16666666666666666,0.3956467236022119,10,8,0.2,23.9268,25.39992
click-09,click,behavior,True,20,0.1,1.0,0.16666666666666666,0.3956467236022119,20,18,0.1,23.9268,25.39992
