query_id,repository,category,answerable,k,precision,recall,mrr,ndcg,returned,unjudged,judged_fraction,latency_p50_ms,latency_p95_ms
click-01,click,symbol,True,1,0.0,0.0,0.0,0.0,1,1,0.0,39.0502,41.50891
click-01,click,symbol,True,5,0.0,0.0,0.0,0.0,5,5,0.0,39.0502,41.50891
click-01,click,symbol,True,10,0.0,0.0,0.0,0.0,10,10,0.0,39.0502,41.50891
click-01,click,symbol,True,20,0.0,0.0,0.0,0.0,20,20,0.0,39.0502,41.50891
click-02,click,symbol,True,1,0.0,0.0,0.0,0.0,1,1,0.0,35.8719,40.497899999999994
click-02,click,symbol,True,5,0.2,1.0,0.2,0.38685280723454163,5,4,0.2,35.8719,40.497899999999994
click-02,click,symbol,True,10,0.1,1.0,0.2,0.38685280723454163,10,9,0.1,35.8719,40.497899999999994
click-02,click,symbol,True,20,0.05,1.0,0.2,0.38685280723454163,20,19,0.05,35.8719,40.497899999999994
click-03,click,symbol,True,1,0.0,0.0,0.0,0.0,1,1,0.0,41.2873,41.76691
click-03,click,symbol,True,5,0.0,0.0,0.0,0.0,5,5,0.0,41.2873,41.76691
click-03,click,symbol,True,10,0.1,1.0,0.16666666666666666,0.3562071871080222,10,9,0.1,41.2873,41.76691
click-03,click,symbol,True,20,0.05,1.0,0.16666666666666666,0.3562071871080222,20,19,0.05,41.2873,41.76691
click-04,click,symbol,True,1,0.0,0.0,0.0,0.0,1,1,0.0,35.5062,35.85738
click-04,click,symbol,True,5,0.2,1.0,0.5,0.6309297535714574,5,4,0.2,35.5062,35.85738
click-04,click,symbol,True,10,0.1,1.0,0.5,0.6309297535714574,10,9,0.1,35.5062,35.85738
click-04,click,symbol,True,20,0.05,1.0,0.5,0.6309297535714574,20,19,0.05,35.5062,35.85738
click-05,click,behavior,True,1,0.0,0.0,0.0,0.0,1,1,0.0,39.4003,41.25763
click-05,click,behavior,True,5,0.2,1.0,0.5,0.6309297535714574,5,4,0.2,39.4003,41.25763
click-05,click,behavior,True,10,0.1,1.0,0.5,0.6309297535714574,10,9,0.1,39.4003,41.25763
click-05,click,behavior,True,20,0.05,1.0,0.5,0.6309297535714574,20,19,0.05,39.4003,41.25763
click-06,click,behavior,True,1,1.0,1.0,1.0,1.0,1,0,1.0,38.5897,41.86759
click-06,click,behavior,True,5,0.2,1.0,1.0,1.0,5,4,0.2,38.5897,41.86759
click-06,click,behavior,True,10,0.1,1.0,1.0,1.0,10,9,0.1,38.5897,41.86759
click-06,click,behavior,True,20,0.05,1.0,1.0,1.0,20,19,0.05,38.5897,41.86759
