query_id,repository,category,answerable,k,precision,recall,mrr,ndcg,returned,unjudged,judged_fraction,latency_p50_ms,latency_p95_ms
click-01,click,symbol,True,1,0.0,0.0,0.0,0.0,1,1,0.0,40.0925,41.02166
click-01,click,symbol,True,5,0.0,0.0,0.0,0.0,5,5,0.0,40.0925,41.02166
click-01,click,symbol,True,10,0.0,0.0,0.0,0.0,10,10,0.0,40.0925,41.02166
click-01,click,symbol,True,20,0.0,0.0,0.0,0.0,20,20,0.0,40.0925,41.02166
click-02,click,symbol,True,1,0.0,0.0,0.0,0.0,1,1,0.0,36.2396,37.26938
click-02,click,symbol,True,5,0.2,1.0,0.2,0.38685280723454163,5,4,0.2,36.2396,37.26938
click-02,click,symbol,True,10,0.1,1.0,0.2,0.38685280723454163,10,9,0.1,36.2396,37.26938
click-02,click,symbol,True,20,0.05,1.0,0.2,0.38685280723454163,20,19,0.05,36.2396,37.26938
click-03,click,symbol,True,1,0.0,0.0,0.0,0.0,1,1,0.0,38.6807,39.01361
click-03,click,symbol,True,5,0.0,0.0,0.0,0.0,5,5,0.0,38.6807,39.01361
click-03,click,symbol,True,10,0.1,1.0,0.16666666666666666,0.3562071871080222,10,9,0.1,38.6807,39.01361
click-03,click,symbol,True,20,0.05,1.0,0.16666666666666666,0.3562071871080222,20,19,0.05,38.6807,39.01361
click-04,click,symbol,True,1,0.0,0.0,0.0,0.0,1,1,0.0,46.9143,125.67294
click-04,click,symbol,True,5,0.2,1.0,0.5,0.6309297535714574,5,4,0.2,46.9143,125.67294
click-04,click,symbol,True,10,0.1,1.0,0.5,0.6309297535714574,10,9,0.1,46.9143,125.67294
click-04,click,symbol,True,20,0.05,1.0,0.5,0.6309297535714574,20,19,0.05,46.9143,125.67294
click-05,click,behavior,True,1,0.0,0.0,0.0,0.0,1,1,0.0,42.3569,42.60836
click-05,click,behavior,True,5,0.2,1.0,0.5,0.6309297535714574,5,4,0.2,42.3569,42.60836
click-05,click,behavior,True,10,0.1,1.0,0.5,0.6309297535714574,10,9,0.1,42.3569,42.60836
click-05,click,behavior,True,20,0.05,1.0,0.5,0.6309297535714574,20,19,0.05,42.3569,42.60836
click-06,click,behavior,True,1,1.0,1.0,1.0,1.0,1,0,1.0,40.3349,43.20356
click-06,click,behavior,True,5,0.2,1.0,1.0,1.0,5,4,0.2,40.3349,43.20356
click-06,click,behavior,True,10,0.1,1.0,1.0,1.0,10,9,0.1,40.3349,43.20356
click-06,click,behavior,True,20,0.05,1.0,1.0,1.0,20,19,0.05,40.3349,43.20356
click-07,click,behavior,True,1,0.0,0.0,0.0,0.0,1,1,0.0,37.9275,121.58339999999998
click-07,click,behavior,True,5,0.2,1.0,0.5,0.6309297535714574,5,4,0.2,37.9275,121.58339999999998
click-07,click,behavior,True,10,0.1,1.0,0.5,0.6309297535714574,10,9,0.1,37.9275,121.58339999999998
click-07,click,behavior,True,20,0.05,1.0,0.5,0.6309297535714574,20,19,0.05,37.9275,121.58339999999998
click-08,click,behavior,True,1,0.0,0.0,0.0,0.0,1,1,0.0,38.3554,41.40055
click-08,click,behavior,True,5,0.2,1.0,0.3333333333333333,0.5,5,4,0.2,38.3554,41.40055
click-08,click,behavior,True,10,0.1,1.0,0.3333333333333333,0.5,10,9,0.1,38.3554,41.40055
click-08,click,behavior,True,20,0.05,1.0,0.3333333333333333,0.5,20,19,0.05,38.3554,41.40055
click-09,click,behavior,True,1,0.0,0.0,0.0,0.0,1,1,0.0,35.8354,36.82351
click-09,click,behavior,True,5,0.0,0.0,0.0,0.0,5,5,0.0,35.8354,36.82351
click-09,click,behavior,True,10,0.0,0.0,0.0,0.0,10,10,0.0,35.8354,36.82351
click-09,click,behavior,True,20,0.1,1.0,0.09090909090909091,0.33672884983294765,20,18,0.1,35.8354,36.82351
click-10,click,behavior,True,1,0.0,0.0,0.0,0.0,1,1,0.0,46.097,46.65248
click-10,click,behavior,True,5,0.2,1.0,0.25,0.4306765580733931,5,4,0.2,46.097,46.65248
click-10,click,behavior,True,10,0.1,1.0,0.25,0.4306765580733931,10,9,0.1,46.097,46.65248
click-10,click,behavior,True,20,0.05,1.0,0.25,0.4306765580733931,20,19,0.05,46.097,46.65248
click-11,click,behavior,True,1,1.0,1.0,1.0,1.0,1,0,1.0,45.2849,46.984010000000005
click-11,click,behavior,True,5,0.2,1.0,1.0,1.0,5,4,0.2,45.2849,46.984010000000005
click-11,click,behavior,True,10,0.1,1.0,1.0,1.0,10,9,0.1,45.2849,46.984010000000005
click-11,click,behavior,True,20,0.05,1.0,1.0,1.0,20,19,0.05,45.2849,46.984010000000005
click-12,click,behavior,True,1,0.0,0.0,0.0,0.0,1,1,0.0,43.6284,45.54945
click-12,click,behavior,True,5,0.2,1.0,0.3333333333333333,0.5,5,4,0.2,43.6284,45.54945
click-12,click,behavior,True,10,0.1,1.0,0.3333333333333333,0.5,10,9,0.1,43.6284,45.54945
click-12,click,behavior,True,20,0.05,1.0,0.3333333333333333,0.5,20,19,0.05,43.6284,45.54945
click-13,click,cross_file,True,1,0.0,0.0,0.0,0.0,1,1,0.0,38.6849,38.68616
click-13,click,cross_file,True,5,0.0,0.0,0.0,0.0,5,5,0.0,38.6849,38.68616
click-13,click,cross_file,True,10,0.1,0.5,0.125,0.1934264036172708,10,9,0.1,38.6849,38.68616
click-13,click,cross_file,True,20,0.05,0.5,0.125,0.1934264036172708,20,19,0.05,38.6849,38.68616
click-14,click,cross_file,True,1,0.0,0.0,0.0,0.0,1,1,0.0,37.3796,38.652739999999994
click-14,click,cross_file,True,5,0.2,0.3333333333333333,0.5,0.2960819109658653,5,4,0.2,37.3796,38.652739999999994
click-14,click,cross_file,True,10,0.2,0.6666666666666666,0.5,0.45250815297345076,10,8,0.2,37.3796,38.652739999999994
click-14,click,cross_file,True,20,0.15,1.0,0.5,0.5726238087715021,20,17,0.15,37.3796,38.652739999999994
click-15,click,cross_file,True,1,0.0,0.0,0.0,0.0,1,1,0.0,43.7414,43.74707
click-15,click,cross_file,True,5,0.2,0.5,0.5,0.3868528072345416,5,4,0.2,43.7414,43.74707
click-15,click,cross_file,True,10,0.1,0.5,0.5,0.3868528072345416,10,9,0.1,43.7414,43.74707
click-15,click,cross_file,True,20,0.1,1.0,0.5,0.5578858913022596,20,18,0.1,43.7414,43.74707
click-16,click,cross_file,True,1,1.0,0.3333333333333333,1.0,1.0,1,0,1.0,39.0659,40.70561
click-16,click,cross_file,True,5,0.2,0.3333333333333333,1.0,0.5562983930884396,5,4,0.2,39.0659,40.70561
click-16,click,cross_file,True,10,0.1,0.3333333333333333,1.0,0.5562983930884396,10,9,0.1,39.0659,40.70561
click-16,click,cross_file,True,20,0.1,0.6666666666666666,1.0,0.6897056828828664,20,18,0.1,39.0659,40.70561
click-17,click,test,True,1,0.0,0.0,0.0,0.0,1,1,0.0,46.9732,125.62752999999998
