query_id,repository,category,answerable,k,precision,recall,mrr,ndcg,returned,unjudged,judged_fraction,latency_p50_ms,latency_p95_ms
click-01,click,symbol,True,1,0.0,0.0,0.0,0.0,1,1,0.0,46.71,49.95684
click-01,click,symbol,True,5,0.0,0.0,0.0,0.0,5,5,0.0,46.71,49.95684
click-01,click,symbol,True,10,0.0,0.0,0.0,0.0,10,10,0.0,46.71,49.95684
click-01,click,symbol,True,20,0.0,0.0,0.0,0.0,20,20,0.0,46.71,49.95684
click-02,click,symbol,True,1,0.0,0.0,0.0,0.0,1,1,0.0,52.302,54.78186
click-02,click,symbol,True,5,0.0,0.0,0.0,0.0,5,5,0.0,52.302,54.78186
click-02,click,symbol,True,10,0.1,1.0,0.16666666666666666,0.3562071871080222,10,9,0.1,52.302,54.78186
click-02,click,symbol,True,20,0.05,1.0,0.16666666666666666,0.3562071871080222,20,19,0.05,52.302,54.78186
click-03,click,symbol,True,1,0.0,0.0,0.0,0.0,1,1,0.0,43.6828,47.36074
click-03,click,symbol,True,5,0.0,0.0,0.0,0.0,5,5,0.0,43.6828,47.36074
click-03,click,symbol,True,10,0.1,1.0,0.14285714285714285,0.3333333333333333,10,9,0.1,43.6828,47.36074
click-03,click,symbol,True,20,0.05,1.0,0.14285714285714285,0.3333333333333333,20,19,0.05,43.6828,47.36074
click-04,click,symbol,True,1,0.0,0.0,0.0,0.0,1,1,0.0,45.9019,131.87358999999998
click-04,click,symbol,True,5,0.2,1.0,0.5,0.6309297535714574,5,4,0.2,45.9019,131.87358999999998
click-04,click,symbol,True,10,0.1,1.0,0.5,0.6309297535714574,10,9,0.1,45.9019,131.87358999999998
click-04,click,symbol,True,20,0.05,1.0,0.5,0.6309297535714574,20,19,0.05,45.9019,131.87358999999998
click-05,click,behavior,True,1,0.0,0.0,0.0,0.0,1,1,0.0,44.8378,47.08177
click-05,click,behavior,True,5,0.2,1.0,0.25,0.4306765580733931,5,4,0.2,44.8378,47.08177
click-05,click,behavior,True,10,0.1,1.0,0.25,0.4306765580733931,10,9,0.1,44.8378,47.08177
click-05,click,behavior,True,20,0.05,1.0,0.25,0.4306765580733931,20,19,0.05,44.8378,47.08177
click-06,click,behavior,True,1,0.0,0.0,0.0,0.0,1,1,0.0,48.4063,49.07455
click-06,click,behavior,True,5,0.2,1.0,0.5,0.6309297535714574,5,4,0.2,48.4063,49.07455
click-06,click,behavior,True,10,0.1,1.0,0.5,0.6309297535714574,10,9,0.1,48.4063,49.07455
click-06,click,behavior,True,20,0.05,1.0,0.5,0.6309297535714574,20,19,0.05,48.4063,49.07455
click-07,click,behavior,True,1,0.0,0.0,0.0,0.0,1,1,0.0,50.5668,135.12431999999998
click-07,click,behavior,True,5,0.2,1.0,0.5,0.6309297535714574,5,4,0.2,50.5668,135.12431999999998
click-07,click,behavior,True,10,0.1,1.0,0.5,0.6309297535714574,10,9,0.1,50.5668,135.12431999999998
click-07,click,behavior,True,20,0.05,1.0,0.5,0.6309297535714574,20,19,0.05,50.5668,135.12431999999998
click-08,click,behavior,True,1,0.0,0.0,0.0,0.0,1,1,0.0,42.113,44.619319999999995
click-08,click,behavior,True,5,0.2,1.0,0.3333333333333333,0.5,5,4,0.2,42.113,44.619319999999995
click-08,click,behavior,True,10,0.1,1.0,0.3333333333333333,0.5,10,9,0.1,42.113,44.619319999999995
click-08,click,behavior,True,20,0.05,1.0,0.3333333333333333,0.5,20,19,0.05,42.113,44.619319999999995
click-09,click,behavior,True,1,0.0,0.0,0.0,0.0,1,1,0.0,45.9054,47.14389
click-09,click,behavior,True,5,0.2,0.5,0.5,0.3868528072345416,5,4,0.2,45.9054,47.14389
click-09,click,behavior,True,10,0.1,0.5,0.5,0.3868528072345416,10,9,0.1,45.9054,47.14389
click-09,click,behavior,True,20,0.1,1.0,0.5,0.5525485729997711,20,18,0.1,45.9054,47.14389
click-10,click,behavior,True,1,0.0,0.0,0.0,0.0,1,1,0.0,46.3664,51.68954
click-10,click,behavior,True,5,0.2,1.0,0.25,0.4306765580733931,5,4,0.2,46.3664,51.68954
click-10,click,behavior,True,10,0.1,1.0,0.25,0.4306765580733931,10,9,0.1,46.3664,51.68954
click-10,click,behavior,True,20,0.05,1.0,0.25,0.4306765580733931,20,19,0.05,46.3664,51.68954
click-11,click,behavior,True,1,1.0,1.0,1.0,1.0,1,0,1.0,51.4886,52.34117
click-11,click,behavior,True,5,0.2,1.0,1.0,1.0,5,4,0.2,51.4886,52.34117
click-11,click,behavior,True,10,0.1,1.0,1.0,1.0,10,9,0.1,51.4886,52.34117
click-11,click,behavior,True,20,0.05,1.0,1.0,1.0,20,19,0.05,51.4886,52.34117
click-12,click,behavior,True,1,0.0,0.0,0.0,0.0,1,1,0.0,46.3323,48.15984
click-12,click,behavior,True,5,0.2,1.0,0.25,0.4306765580733931,5,4,0.2,46.3323,48.15984
click-12,click,behavior,True,10,0.1,1.0,0.25,0.4306765580733931,10,9,0.1,46.3323,48.15984
click-12,click,behavior,True,20,0.05,1.0,0.25,0.4306765580733931,20,19,0.05,46.3323,48.15984
click-13,click,cross_file,True,1,0.0,0.0,0.0,0.0,1,1,0.0,56.3875,59.76997
click-13,click,cross_file,True,5,0.0,0.0,0.0,0.0,5,5,0.0,56.3875,59.76997
click-13,click,cross_file,True,10,0.1,0.5,0.125,0.1934264036172708,10,9,0.1,56.3875,59.76997
click-13,click,cross_file,True,20,0.05,0.5,0.125,0.1934264036172708,20,19,0.05,56.3875,59.76997
click-14,click,cross_file,True,1,1.0,0.3333333333333333,1.0,1.0,1,0,1.0,51.9942,52.694579999999995
click-14,click,cross_file,True,5,0.4,0.6666666666666666,1.0,0.7039180890341348,5,3,0.4,51.9942,52.694579999999995
click-14,click,cross_file,True,10,0.3,1.0,1.0,0.8519590445170674,10,7,0.3,51.9942,52.694579999999995
click-14,click,cross_file,True,20,0.15,1.0,1.0,0.8519590445170674,20,17,0.15,51.9942,52.694579999999995
click-15,click,cross_file,True,1,0.0,0.0,0.0,0.0,1,1,0.0,68.8172,139.30286
click-15,click,cross_file,True,5,0.2,0.5,0.3333333333333333,0.3065735963827292,5,4,0.2,68.8172,139.30286
click-15,click,cross_file,True,10,0.1,0.5,0.3333333333333333,0.3065735963827292,10,9,0.1,68.8172,139.30286
click-15,click,cross_file,True,20,0.1,1.0,0.3333333333333333,0.4676164214719373,20,18,0.1,68.8172,139.30286
click-16,click,cross_file,True,1,0.0,0.0,0.0,0.0,1,1,0.0,45.4887,45.72324
click-16,click,cross_file,True,5,0.4,0.6666666666666666,0.5,0.6291344046077069,5,3,0.4,45.4887,45.72324
click-16,click,cross_file,True,10,0.3,1.0,0.5,0.6951868998726222,10,7,0.3,45.4887,45.72324
click-16,click,cross_file,True,20,0.15,1.0,0.5,0.6951868998726222,20,17,0.15,45.4887,45.72324
click-17,click,test,True,1,0.0,0.0,0.0,0.0,1,1,0.0,51.252,53.68335
click-17,click,test,True,5,0.2,1.0,0.5,0.6309297535714574,5,4,0.2,51.252,53.68335
click-17,click,test,True,10,0.1,1.0,0.5,0.6309297535714574,10,9,0.1,51.252,53.68335
click-17,click,test,True,20,0.05,1.0,0.5,0.6309297535714574,20,19,0.05,51.252,53.68335
click-18,click,test,True,1,0.0,0.0,0.0,0.0,1,1,0.0,55.4697,59.78655
click-18,click,test,True,5,0.2,1.0,0.5,0.6309297535714574,5,4,0.2,55.4697,59.78655
click-18,click,test,True,10,0.1,1.0,0.5,0.6309297535714574,10,9,0.1,55.4697,59.78655
click-18,click,test,True,20,0.05,1.0,0.5,0.6309297535714574,20,19,0.05,55.4697,59.78655
click-19,click,test,True,1,0.0,0.0,0.0,0.0,1,1,0.0,48.8234,52.63337
click-19,click,test,True,5,0.0,0.0,0.0,0.0,5,5,0.0,48.8234,52.63337
click-19,click,test,True,10,0.1,1.0,0.14285714285714285,0.3333333333333333,10,9,0.1,48.8234,52.63337
click-19,click,test,True,20,0.05,1.0,0.14285714285714285,0.3333333333333333,20,19,0.05,48.8234,52.63337
click-20,click,test,True,1,0.0,0.0,0.0,0.0,1,1,0.0,46.9351,48.17341
click-20,click,test,True,5,0.2,1.0,0.5,0.6309297535714574,5,4,0.2,46.9351,48.17341
click-20,click,test,True,10,0.1,1.0,0.5,0.6309297535714574,10,9,0.1,46.9351,48.17341
click-20,click,test,True,20,0.05,1.0,0.5,0.6309297535714574,20,19,0.05,46.9351,48.17341
requests-01,requests,symbol,True,1,0.0,0.0,0.0,0.0,1,1,0.0,29.1008,29.38547
requests-01,requests,symbol,True,5,0.2,1.0,0.3333333333333333,0.5,5,4,0.2,29.1008,29.38547
requests-01,requests,symbol,True,10,0.1,1.0,0.3333333333333333,0.5,10,9,0.1,29.1008,29.38547
requests-01,requests,symbol,True,20,0.05,1.0,0.3333333333333333,0.5,20,19,0.05,29.1008,29.38547
requests-02,requests,symbol,True,1,0.0,0.0,0.0,0.0,1,0,1.0,45.2104,52.38826
requests-02,requests,symbol,True,5,0.0,0.0,0.0,0.0,5,4,0.2,45.2104,52.38826
requests-02,requests,symbol,True,10,0.0,0.0,0.0,0.0,10,9,0.1,45.2104,52.38826
requests-02,requests,symbol,True,20,0.05,1.0,0.08333333333333333,0.27023815442731974,20,18,0.1,45.2104,52.38826
requests-03,requests,symbol,True,1,1.0,1.0,1.0,1.0,1,0,1.0,35.7429,39.99693
requests-03,requests,symbol,True,5,0.2,1.0,1.0,1.0,5,4,0.2,35.7429,39.99693
requests-03,requests,symbol,True,10,0.1,1.0,1.0,1.0,10,9,0.1,35.7429,39.99693
requests-03,requests,symbol,True,20,0.05,1.0,1.0,1.0,20,19,0.05,35.7429,39.99693
requests-04,requests,symbol,True,1,1.0,1.0,1.0,1.0,1,0,1.0,26.1901,27.5464
requests-04,requests,symbol,True,5,0.2,1.0,1.0,1.0,5,4,0.2,26.1901,27.5464
requests-04,requests,symbol,True,10,0.1,1.0,1.0,1.0,10,9,0.1,26.1901,27.5464
requests-04,requests,symbol,True,20,0.05,1.0,1.0,1.0,20,19,0.05,26.1901,27.5464
requests-05,requests,behavior,True,1,0.0,0.0,0.0,0.0,1,1,0.0,27.109,29.431179999999998
requests-05,requests,behavior,True,5,0.2,1.0,0.5,0.6309297535714574,5,4,0.2,27.109,29.431179999999998
requests-05,requests,behavior,True,10,0.1,1.0,0.5,0.6309297535714574,10,9,0.1,27.109,29.431179999999998
requests-05,requests,behavior,True,20,0.05,1.0,0.5,0.6309297535714574,20,19,0.05,27.109,29.431179999999998
requests-06,requests,cross_file,True,1,0.0,0.0,0.0,0.0,1,1,0.0,29.1578,29.40026
requests-06,requests,cross_file,True,5,0.4,1.0,0.5,0.6240505200038378,5,3,0.4,29.1578,29.40026
requests-06,requests,cross_file,True,10,0.2,1.0,0.5,0.6240505200038378,10,8,0.2,29.1578,29.40026
requests-06,requests,cross_file,True,20,0.1,1.0,0.5,0.6240505200038378,20,18,0.1,29.1578,29.40026
requests-07,requests,behavior,True,1,0.0,0.0,0.0,0.0,1,1,0.0,28.5969,28.84269
requests-07,requests,behavior,True,5,0.2,1.0,0.25,0.4306765580733931,5,4,0.2,28.5969,28.84269
requests-07,requests,behavior,True,10,0.1,1.0,0.25,0.4306765580733931,10,9,0.1,28.5969,28.84269
requests-07,requests,behavior,True,20,0.05,1.0,0.25,0.4306765580733931,20,19,0.05,28.5969,28.84269
requests-08,requests,behavior,True,1,0.0,0.0,0.0,0.0,1,1,0.0,31.6002,31.81755
requests-08,requests,behavior,True,5,0.2,0.5,0.2,0.10654373218155079,5,4,0.2,31.6002,31.81755
requests-08,requests,behavior,True,10,0.2,1.0,0.2,0.4008544552884763,10,8,0.2,31.6002,31.81755
requests-08,requests,behavior,True,20,0.1,1.0,0.2,0.4008544552884763,20,18,0.1,31.6002,31.81755
requests-09,requests,behavior,True,1,0.0,0.0,0.0,0.0,1,1,0.0,31.0261,31.55836
