query_id,repository,category,answerable,k,precision,recall,mrr,ndcg,returned,unjudged,judged_fraction,latency_p50_ms,latency_p95_ms
click-01,click,symbol,True,1,0.0,0.0,0.0,0.0,1,1,0.0,48.3447,53.179500000000004
click-01,click,symbol,True,5,0.0,0.0,0.0,0.0,5,5,0.0,48.3447,53.179500000000004
click-01,click,symbol,True,10,0.0,0.0,0.0,0.0,10,10,0.0,48.3447,53.179500000000004
click-01,click,symbol,True,20,0.0,0.0,0.0,0.0,20,20,0.0,48.3447,53.179500000000004
click-02,click,symbol,True,1,0.0,0.0,0.0,0.0,1,1,0.0,45.8961,48.022439999999996
click-02,click,symbol,True,5,0.0,0.0,0.0,0.0,5,5,0.0,45.8961,48.022439999999996
click-02,click,symbol,True,10,0.1,1.0,0.125,0.3154648767857287,10,9,0.1,45.8961,48.022439999999996
click-02,click,symbol,True,20,0.05,1.0,0.125,0.3154648767857287,20,19,0.05,45.8961,48.022439999999996
click-03,click,symbol,True,1,0.0,0.0,0.0,0.0,1,1,0.0,45.5327,51.56
click-03,click,symbol,True,5,0.0,0.0,0.0,0.0,5,5,0.0,45.5327,51.56
click-03,click,symbol,True,10,0.1,1.0,0.16666666666666666,0.3562071871080222,10,9,0.1,45.5327,51.56
click-03,click,symbol,True,20,0.05,1.0,0.16666666666666666,0.3562071871080222,20,19,0.05,45.5327,51.56
click-04,click,symbol,True,1,0.0,0.0,0.0,0.0,1,1,0.0,42.5281,53.3281
click-04,click,symbol,True,5,0.2,1.0,0.5,0.6309297535714574,5,4,0.2,42.5281,53.3281
click-04,click,symbol,True,10,0.1,1.0,0.5,0.6309297535714574,10,9,0.1,42.5281,53.3281
click-04,click,symbol,True,20,0.05,1.0,0.5,0.6309297535714574,20,19,0.05,42.5281,53.3281
click-05,click,behavior,True,1,0.0,0.0,0.0,0.0,1,1,0.0,43.8824,47.22725
click-05,click,behavior,True,5,0.2,1.0,0.5,0.6309297535714574,5,4,0.2,43.8824,47.22725
click-05,click,behavior,True,10,0.1,1.0,0.5,0.6309297535714574,10,9,0.1,43.8824,47.22725
click-05,click,behavior,True,20,0.05,1.0,0.5,0.6309297535714574,20,19,0.05,43.8824,47.22725
click-06,click,behavior,True,1,1.0,1.0,1.0,1.0,1,0,1.0,49.9227,51.96804
click-06,click,behavior,True,5,0.2,1.0,1.0,1.0,5,4,0.2,49.9227,51.96804
click-06,click,behavior,True,10,0.1,1.0,1.0,1.0,10,9,0.1,49.9227,51.96804
click-06,click,behavior,True,20,0.05,1.0,1.0,1.0,20,19,0.05,49.9227,51.96804
click-07,click,behavior,True,1,0.0,0.0,0.0,0.0,1,1,0.0,44.815,45.30757
click-07,click,behavior,True,5,0.2,1.0,0.5,0.6309297535714574,5,4,0.2,44.815,45.30757
click-07,click,behavior,True,10,0.1,1.0,0.5,0.6309297535714574,10,9,0.1,44.815,45.30757
click-07,click,behavior,True,20,0.05,1.0,0.5,0.6309297535714574,20,19,0.05,44.815,45.30757
click-08,click,behavior,True,1,0.0,0.0,0.0,0.0,1,1,0.0,44.5285,45.64873
click-08,click,behavior,True,5,0.2,1.0,0.2,0.38685280723454163,5,4,0.2,44.5285,45.64873
click-08,click,behavior,True,10,0.1,1.0,0.2,0.38685280723454163,10,9,0.1,44.5285,45.64873
click-08,click,behavior,True,20,0.05,1.0,0.2,0.38685280723454163,20,19,0.05,44.5285,45.64873
click-09,click,behavior,True,1,0.0,0.0,0.0,0.0,1,1,0.0,42.5503,43.611760000000004
click-09,click,behavior,True,5,0.0,0.0,0.0,0.0,5,5,0.0,42.5503,43.611760000000004
click-09,click,behavior,True,10,0.0,0.0,0.0,0.0,10,10,0.0,42.5503,43.611760000000004
click-09,click,behavior,True,20,0.1,1.0,0.09090909090909091,0.33672884983294765,20,18,0.1,42.5503,43.611760000000004
click-10,click,behavior,True,1,0.0,0.0,0.0,0.0,1,1,0.0,53.2949,137.00074999999998
click-10,click,behavior,True,5,0.0,0.0,0.0,0.0,5,5,0.0,53.2949,137.00074999999998
click-10,click,behavior,True,10,0.1,1.0,0.16666666666666666,0.3562071871080222,10,9,0.1,53.2949,137.00074999999998
click-10,click,behavior,True,20,0.05,1.0,0.16666666666666666,0.3562071871080222,20,19,0.05,53.2949,137.00074999999998
click-11,click,behavior,True,1,1.0,1.0,1.0,1.0,1,0,1.0,55.3155,57.131609999999995
click-11,click,behavior,True,5,0.2,1.0,1.0,1.0,5,4,0.2,55.3155,57.131609999999995
click-11,click,behavior,True,10,0.1,1.0,1.0,1.0,10,9,0.1,55.3155,57.131609999999995
click-11,click,behavior,True,20,0.05,1.0,1.0,1.0,20,19,0.05,55.3155,57.131609999999995
click-12,click,behavior,True,1,0.0,0.0,0.0,0.0,1,1,0.0,45.256,46.0462
click-12,click,behavior,True,5,0.2,1.0,0.3333333333333333,0.5,5,4,0.2,45.256,46.0462
click-12,click,behavior,True,10,0.1,1.0,0.3333333333333333,0.5,10,9,0.1,45.256,46.0462
click-12,click,behavior,True,20,0.05,1.0,0.3333333333333333,0.5,20,19,0.05,45.256,46.0462
click-13,click,cross_file,True,1,0.0,0.0,0.0,0.0,1,1,0.0,51.7712,62.266189999999995
click-13,click,cross_file,True,5,0.0,0.0,0.0,0.0,5,5,0.0,51.7712,62.266189999999995
click-13,click,cross_file,True,10,0.1,0.5,0.1111111111111111,0.1845756967795682,10,9,0.1,51.7712,62.266189999999995
click-13,click,cross_file,True,20,0.1,1.0,0.1111111111111111,0.32644459864556236,20,18,0.1,51.7712,62.266189999999995
click-14,click,cross_file,True,1,0.0,0.0,0.0,0.0,1,1,0.0,55.1967,60.29439
click-14,click,cross_file,True,5,0.2,0.3333333333333333,0.5,0.2960819109658653,5,4,0.2,55.1967,60.29439
click-14,click,cross_file,True,10,0.2,0.6666666666666666,0.5,0.4441228664487979,10,8,0.2,55.1967,60.29439
click-14,click,cross_file,True,20,0.15,1.0,0.5,0.5642385222468492,20,17,0.15,55.1967,60.29439
click-15,click,cross_file,True,1,0.0,0.0,0.0,0.0,1,1,0.0,55.3233,130.88414999999998
click-15,click,cross_file,True,5,0.2,0.5,0.5,0.3868528072345416,5,4,0.2,55.3233,130.88414999999998
click-15,click,cross_file,True,10,0.2,1.0,0.5,0.5714285040141098,10,8,0.2,55.3233,130.88414999999998
click-15,click,cross_file,True,20,0.1,1.0,0.5,0.5714285040141098,20,18,0.1,55.3233,130.88414999999998
click-16,click,cross_file,True,1,1.0,0.3333333333333333,1.0,1.0,1,0,1.0,50.4219,133.12758
click-16,click,cross_file,True,5,0.2,0.3333333333333333,1.0,0.5562983930884396,5,4,0.2,50.4219,133.12758
click-16,click,cross_file,True,10,0.1,0.3333333333333333,1.0,0.5562983930884396,10,9,0.1,50.4219,133.12758
click-16,click,cross_file,True,20,0.1,0.6666666666666666,1.0,0.6897056828828664,20,18,0.1,50.4219,133.12758
click-17,click,test,True,1,0.0,0.0,0.0,0.0,1,1,0.0,46.8659,48.12365
click-17,click,test,True,5,0.2,1.0,0.5,0.6309297535714574,5,4,0.2,46.8659,48.12365
click-17,click,test,True,10,0.1,1.0,0.5,0.6309297535714574,10,9,0.1,46.8659,48.12365
click-17,click,test,True,20,0.05,1.0,0.5,0.6309297535714574,20,19,0.05,46.8659,48.12365
click-18,click,test,True,1,0.0,0.0,0.0,0.0,1,1,0.0,49.5048,49.72107
click-18,click,test,True,5,0.2,1.0,0.5,0.6309297535714574,5,4,0.2,49.5048,49.72107
click-18,click,test,True,10,0.1,1.0,0.5,0.6309297535714574,10,9,0.1,49.5048,49.72107
click-18,click,test,True,20,0.05,1.0,0.5,0.6309297535714574,20,19,0.05,49.5048,49.72107
click-19,click,test,True,1,0.0,0.0,0.0,0.0,1,1,0.0,44.0719,49.00957
click-19,click,test,True,5,0.0,0.0,0.0,0.0,5,5,0.0,44.0719,49.00957
click-19,click,test,True,10,0.1,1.0,0.125,0.3154648767857287,10,9,0.1,44.0719,49.00957
click-19,click,test,True,20,0.05,1.0,0.125,0.3154648767857287,20,19,0.05,44.0719,49.00957
click-20,click,test,True,1,0.0,0.0,0.0,0.0,1,1,0.0,47.0251,49.37491
click-20,click,test,True,5,0.2,1.0,0.5,0.6309297535714574,5,4,0.2,47.0251,49.37491
click-20,click,test,True,10,0.1,1.0,0.5,0.6309297535714574,10,9,0.1,47.0251,49.37491
click-20,click,test,True,20,0.05,1.0,0.5,0.6309297535714574,20,19,0.05,47.0251,49.37491
requests-01,requests,symbol,True,1,1.0,1.0,1.0,1.0,1,0,1.0,30.0327,33.810810000000004
requests-01,requests,symbol,True,5,0.2,1.0,1.0,1.0,5,4,0.2,30.0327,33.810810000000004
requests-01,requests,symbol,True,10,0.1,1.0,1.0,1.0,10,9,0.1,30.0327,33.810810000000004
requests-01,requests,symbol,True,20,0.05,1.0,1.0,1.0,20,19,0.05,30.0327,33.810810000000004
requests-02,requests,symbol,True,1,0.0,0.0,0.0,0.0,1,0,1.0,26.3863,27.14788
requests-02,requests,symbol,True,5,0.0,0.0,0.0,0.0,5,4,0.2,26.3863,27.14788
requests-02,requests,symbol,True,10,0.0,0.0,0.0,0.0,10,9,0.1,26.3863,27.14788
requests-02,requests,symbol,True,20,0.0,0.0,0.0,0.0,20,19,0.05,26.3863,27.14788
