query_id,repository,category,answerable,k,precision,recall,mrr,ndcg,returned,unjudged,judged_fraction,latency_p50_ms,latency_p95_ms
click-01,click,symbol,True,1,0.0,0.0,0.0,0.0,1,1,0.0,48.1511,54.33887
click-01,click,symbol,True,5,0.0,0.0,0.0,0.0,5,5,0.0,48.1511,54.33887
click-01,click,symbol,True,10,0.0,0.0,0.0,0.0,10,10,0.0,48.1511,54.33887
click-01,click,symbol,True,20,0.0,0.0,0.0,0.0,20,20,0.0,48.1511,54.33887
click-02,click,symbol,True,1,0.0,0.0,0.0,0.0,1,1,0.0,43.0423,45.28186
click-02,click,symbol,True,5,0.0,0.0,0.0,0.0,5,5,0.0,43.0423,45.28186
click-02,click,symbol,True,10,0.1,1.0,0.1111111111111111,0.3010299956639812,10,9,0.1,43.0423,45.28186
click-02,click,symbol,True,20,0.05,1.0,0.1111111111111111,0.3010299956639812,20,19,0.05,43.0423,45.28186
click-03,click,symbol,True,1,0.0,0.0,0.0,0.0,1,1,0.0,43.7003,44.90495
click-03,click,symbol,True,5,0.2,1.0,0.25,0.4306765580733931,5,4,0.2,43.7003,44.90495
click-03,click,symbol,True,10,0.1,1.0,0.25,0.4306765580733931,10,9,0.1,43.7003,44.90495
click-03,click,symbol,True,20,0.05,1.0,0.25,0.4306765580733931,20,19,0.05,43.7003,44.90495
click-04,click,symbol,True,1,0.0,0.0,0.0,0.0,1,1,0.0,40.8747,41.748329999999996
click-04,click,symbol,True,5,0.2,1.0,0.3333333333333333,0.5,5,4,0.2,40.8747,41.748329999999996
click-04,click,symbol,True,10,0.1,1.0,0.3333333333333333,0.5,10,9,0.1,40.8747,41.748329999999996
click-04,click,symbol,True,20,0.05,1.0,0.3333333333333333,0.5,20,19,0.05,40.8747,41.748329999999996
click-05,click,behavior,True,1,0.0,0.0,0.0,0.0,1,1,0.0,53.1217,54.673750000000005
click-05,click,behavior,True,5,0.2,1.0,0.25,0.4306765580733931,5,4,0.2,53.1217,54.673750000000005
click-05,click,behavior,True,10,0.1,1.0,0.25,0.4306765580733931,10,9,0.1,53.1217,54.673750000000005
click-05,click,behavior,True,20,0.05,1.0,0.25,0.4306765580733931,20,19,0.05,53.1217,54.673750000000005
click-06,click,behavior,True,1,0.0,0.0,0.0,0.0,1,1,0.0,45.7315,53.63971
click-06,click,behavior,True,5,0.2,1.0,0.5,0.6309297535714574,5,4,0.2,45.7315,53.63971
click-06,click,behavior,True,10,0.1,1.0,0.5,0.6309297535714574,10,9,0.1,45.7315,53.63971
click-06,click,behavior,True,20,0.05,1.0,0.5,0.6309297535714574,20,19,0.05,45.7315,53.63971
click-07,click,behavior,True,1,0.0,0.0,0.0,0.0,1,1,0.0,48.885,134.83707
click-07,click,behavior,True,5,0.2,1.0,0.5,0.6309297535714574,5,4,0.2,48.885,134.83707
click-07,click,behavior,True,10,0.1,1.0,0.5,0.6309297535714574,10,9,0.1,48.885,134.83707
click-07,click,behavior,True,20,0.05,1.0,0.5,0.6309297535714574,20,19,0.05,48.885,134.83707
click-08,click,behavior,True,1,0.0,0.0,0.0,0.0,1,1,0.0,48.5089,48.73867
click-08,click,behavior,True,5,0.2,1.0,0.25,0.4306765580733931,5,4,0.2,48.5089,48.73867
click-08,click,behavior,True,10,0.1,1.0,0.25,0.4306765580733931,10,9,0.1,48.5089,48.73867
click-08,click,behavior,True,20,0.05,1.0,0.25,0.4306765580733931,20,19,0.05,48.5089,48.73867
click-09,click,behavior,True,1,0.0,0.0,0.0,0.0,1,1,0.0,44.711,45.55736
