query_id,repository,category,answerable,k,precision,recall,mrr,ndcg,returned,unjudged,judged_fraction,latency_p50_ms,latency_p95_ms
click-01,click,symbol,True,1,0.0,0.0,0.0,0.0,1,1,0.0,50.6114,57.97025
click-01,click,symbol,True,5,0.0,0.0,0.0,0.0,5,5,0.0,50.6114,57.97025
click-01,click,symbol,True,10,0.0,0.0,0.0,0.0,10,10,0.0,50.6114,57.97025
click-01,click,symbol,True,20,0.0,0.0,0.0,0.0,20,20,0.0,50.6114,57.97025
click-02,click,symbol,True,1,0.0,0.0,0.0,0.0,1,1,0.0,40.4886,42.661919999999995
click-02,click,symbol,True,5,0.0,0.0,0.0,0.0,5,5,0.0,40.4886,42.661919999999995
click-02,click,symbol,True,10,0.1,1.0,0.16666666666666666,0.3562071871080222,10,9,0.1,40.4886,42.661919999999995
click-02,click,symbol,True,20,0.05,1.0,0.16666666666666666,0.3562071871080222,20,19,0.05,40.4886,42.661919999999995
click-03,click,symbol,True,1,0.0,0.0,0.0,0.0,1,1,0.0,47.7528,49.5231
click-03,click,symbol,True,5,0.0,0.0,0.0,0.0,5,5,0.0,47.7528,49.5231
click-03,click,symbol,True,10,0.1,1.0,0.16666666666666666,0.3562071871080222,10,9,0.1,47.7528,49.5231
click-03,click,symbol,True,20,0.05,1.0,0.16666666666666666,0.3562071871080222,20,19,0.05,47.7528,49.5231
click-04,click,symbol,True,1,0.0,0.0,0.0,0.0,1,1,0.0,42.0561,129.2337
click-04,click,symbol,True,5,0.2,1.0,0.5,0.6309297535714574,5,4,0.2,42.0561,129.2337
click-04,click,symbol,True,10,0.1,1.0,0.5,0.6309297535714574,10,9,0.1,42.0561,129.2337
click-04,click,symbol,True,20,0.05,1.0,0.5,0.6309297535714574,20,19,0.05,42.0561,129.2337
click-05,click,behavior,True,1,0.0,0.0,0.0,0.0,1,1,0.0,44.0239,46.813449999999996
click-05,click,behavior,True,5,0.2,1.0,0.5,0.6309297535714574,5,4,0.2,44.0239,46.813449999999996
click-05,click,behavior,True,10,0.1,1.0,0.5,0.6309297535714574,10,9,0.1,44.0239,46.813449999999996
click-05,click,behavior,True,20,0.05,1.0,0.5,0.6309297535714574,20,19,0.05,44.0239,46.813449999999996
click-06,click,behavior,True,1,1.0,1.0,1.0,1.0,1,0,1.0,52.6646,52.82084
click-06,click,behavior,True,5,0.2,1.0,1.0,1.0,5,4,0.2,52.6646,52.82084
click-06,click,behavior,True,10,0.1,1.0,1.0,1.0,10,9,0.1,52.6646,52.82084
click-06,click,behavior,True,20,0.05,1.0,1.0,1.0,20,19,0.05,52.6646,52.82084
click-07,click,behavior,True,1,0.0,0.0,0.0,0.0,1,1,0.0,43.0283,44.364889999999995
click-07,click,behavior,True,5,0.2,1.0,0.5,0.6309297535714574,5,4,0.2,43.0283,44.364889999999995
click-07,click,behavior,True,10,0.1,1.0,0.5,0.6309297535714574,10,9,0.1,43.0283,44.364889999999995
click-07,click,behavior,True,20,0.05,1.0,0.5,0.6309297535714574,20,19,0.05,43.0283,44.364889999999995
click-08,click,behavior,True,1,0.0,0.0,0.0,0.0,1,1,0.0,43.7288,51.70658
click-08,click,behavior,True,5,0.2,1.0,0.3333333333333333,0.5,5,4,0.2,43.7288,51.70658
click-08,click,behavior,True,10,0.1,1.0,0.3333333333333333,0.5,10,9,0.1,43.7288,51.70658
click-08,click,behavior,True,20,0.05,1.0,0.3333333333333333,0.5,20,19,0.05,43.7288,51.70658
click-09,click,behavior,True,1,0.0,0.0,0.0,0.0,1,1,0.0,42.9929,43.6427
click-09,click,behavior,True,5,0.0,0.0,0.0,0.0,5,5,0.0,42.9929,43.6427
click-09,click,behavior,True,10,0.0,0.0,0.0,0.0,10,10,0.0,42.9929,43.6427
click-09,click,behavior,True,20,0.1,1.0,0.09090909090909091,0.33672884983294765,20,18,0.1,42.9929,43.6427
click-10,click,behavior,True,1,0.0,0.0,0.0,0.0,1,1,0.0,43.9038,45.03591
click-10,click,behavior,True,5,0.2,1.0,0.2,0.38685280723454163,5,4,0.2,43.9038,45.03591
click-10,click,behavior,True,10,0.1,1.0,0.2,0.38685280723454163,10,9,0.1,43.9038,45.03591
click-10,click,behavior,True,20,0.05,1.0,0.2,0.38685280723454163,20,19,0.05,43.9038,45.03591
