query_id,repository,category,answerable,k,precision,recall,mrr,ndcg,returned,unjudged,judged_fraction,latency_p50_ms,latency_p95_ms
click-01,click,symbol,True,1,0.0,0.0,0.0,0.0,1,1,0.0,47.7762,48.549479999999996
click-01,click,symbol,True,5,0.0,0.0,0.0,0.0,5,5,0.0,47.7762,48.549479999999996
click-01,click,symbol,True,10,0.0,0.0,0.0,0.0,10,10,0.0,47.7762,48.549479999999996
click-01,click,symbol,True,20,0.0,0.0,0.0,0.0,20,20,0.0,47.7762,48.549479999999996
click-02,click,symbol,True,1,0.0,0.0,0.0,0.0,1,1,0.0,44.6671,45.09523
click-02,click,symbol,True,5,0.0,0.0,0.0,0.0,5,5,0.0,44.6671,45.09523
click-02,click,symbol,True,10,0.1,1.0,0.125,0.3154648767857287,10,9,0.1,44.6671,45.09523
click-02,click,symbol,True,20,0.05,1.0,0.125,0.3154648767857287,20,19,0.05,44.6671,45.09523
click-03,click,symbol,True,1,0.0,0.0,0.0,0.0,1,1,0.0,44.8645,49.580949999999994
click-03,click,symbol,True,5,0.2,1.0,0.25,0.4306765580733931,5,4,0.2,44.8645,49.580949999999994
click-03,click,symbol,True,10,0.1,1.0,0.25,0.4306765580733931,10,9,0.1,44.8645,49.580949999999994
click-03,click,symbol,True,20,0.05,1.0,0.25,0.4306765580733931,20,19,0.05,44.8645,49.580949999999994
click-04,click,symbol,True,1,0.0,0.0,0.0,0.0,1,1,0.0,41.9846,43.043
click-04,click,symbol,True,5,0.2,1.0,0.3333333333333333,0.5,5,4,0.2,41.9846,43.043
click-04,click,symbol,True,10,0.1,1.0,0.3333333333333333,0.5,10,9,0.1,41.9846,43.043
click-04,click,symbol,True,20,0.05,1.0,0.3333333333333333,0.5,20,19,0.05,41.9846,43.043
click-05,click,behavior,True,1,0.0,0.0,0.0,0.0,1,1,0.0,49.888,128.84994999999998
click-05,click,behavior,True,5,0.2,1.0,0.5,0.6309297535714574,5,4,0.2,49.888,128.84994999999998
click-05,click,behavior,True,10,0.1,1.0,0.5,0.6309297535714574,10,9,0.1,49.888,128.84994999999998
click-05,click,behavior,True,20,0.05,1.0,0.5,0.6309297535714574,20,19,0.05,49.888,128.84994999999998
click-06,click,behavior,True,1,1.0,1.0,1.0,1.0,1,0,1.0,45.8422,46.54105
click-06,click,behavior,True,5,0.2,1.0,1.0,1.0,5,4,0.2,45.8422,46.54105
click-06,click,behavior,True,10,0.1,1.0,1.0,1.0,10,9,0.1,45.8422,46.54105
click-06,click,behavior,True,20,0.05,1.0,1.0,1.0,20,19,0.05,45.8422,46.54105
click-07,click,behavior,True,1,0.0,0.0,0.0,0.0,1,1,0.0,46.9978,47.04694
click-07,click,behavior,True,5,0.2,1.0,0.5,0.6309297535714574,5,4,0.2,46.9978,47.04694
click-07,click,behavior,True,10,0.1,1.0,0.5,0.6309297535714574,10,9,0.1,46.9978,47.04694
click-07,click,behavior,True,20,0.05,1.0,0.5,0.6309297535714574,20,19,0.05,46.9978,47.04694
click-08,click,behavior,True,1,0.0,0.0,0.0,0.0,1,1,0.0,42.2161,44.468979999999995
click-08,click,behavior,True,5,0.2,1.0,0.25,0.4306765580733931,5,4,0.2,42.2161,44.468979999999995
click-08,click,behavior,True,10,0.1,1.0,0.25,0.4306765580733931,10,9,0.1,42.2161,44.468979999999995
click-08,click,behavior,True,20,0.05,1.0,0.25,0.4306765580733931,20,19,0.05,42.2161,44.468979999999995
click-09,click,behavior,True,1,0.0,0.0,0.0,0.0,1,1,0.0,45.1673,47.11148
click-09,click,behavior,True,5,0.0,0.0,0.0,0.0,5,5,0.0,45.1673,47.11148
click-09,click,behavior,True,10,0.0,0.0,0.0,0.0,10,10,0.0,45.1673,47.11148
click-09,click,behavior,True,20,0.1,1.0,0.09090909090909091,0.33672884983294765,20,18,0.1,45.1673,47.11148
click-10,click,behavior,True,1,0.0,0.0,0.0,0.0,1,1,0.0,51.2043,54.92229
click-10,click,behavior,True,5,0.0,0.0,0.0,0.0,5,5,0.0,51.2043,54.92229
click-10,click,behavior,True,10,0.1,1.0,0.16666666666666666,0.3562071871080222,10,9,0.1,51.2043,54.92229
