query_id,repository,category,answerable,k,precision,recall,mrr,ndcg,returned,unjudged,judged_fraction,latency_p50_ms,latency_p95_ms
click-01,click,symbol,True,1,0.0,0.0,0.0,0.0,1,1,0.0,44.2436,49.46288
click-01,click,symbol,True,5,0.0,0.0,0.0,0.0,5,5,0.0,44.2436,49.46288
click-01,click,symbol,True,10,0.0,0.0,0.0,0.0,10,10,0.0,44.2436,49.46288
click-01,click,symbol,True,20,0.0,0.0,0.0,0.0,20,20,0.0,44.2436,49.46288
click-02,click,symbol,True,1,0.0,0.0,0.0,0.0,1,1,0.0,42.868,45.08632
click-02,click,symbol,True,5,0.0,0.0,0.0,0.0,5,5,0.0,42.868,45.08632
click-02,click,symbol,True,10,0.1,1.0,0.14285714285714285,0.3333333333333333,10,9,0.1,42.868,45.08632
click-02,click,symbol,True,20,0.05,1.0,0.14285714285714285,0.3333333333333333,20,19,0.05,42.868,45.08632
click-03,click,symbol,True,1,0.0,0.0,0.0,0.0,1,1,0.0,46.6086,127.32032999999998
click-03,click,symbol,True,5,0.2,1.0,0.25,0.4306765580733931,5,4,0.2,46.6086,127.32032999999998
click-03,click,symbol,True,10,0.1,1.0,0.25,0.4306765580733931,10,9,0.1,46.6086,127.32032999999998
click-03,click,symbol,True,20,0.05,1.0,0.25,0.4306765580733931,20,19,0.05,46.6086,127.32032999999998
click-04,click,symbol,True,1,0.0,0.0,0.0,0.0,1,1,0.0,43.8324,46.1157
click-04,click,symbol,True,5,0.2,1.0,0.3333333333333333,0.5,5,4,0.2,43.8324,46.1157
click-04,click,symbol,True,10,0.1,1.0,0.3333333333333333,0.5,10,9,0.1,43.8324,46.1157
click-04,click,symbol,True,20,0.05,1.0,0.3333333333333333,0.5,20,19,0.05,43.8324,46.1157
click-05,click,behavior,True,1,0.0,0.0,0.0,0.0,1,1,0.0,50.0219,52.303850000000004
click-05,click,behavior,True,5,0.2,1.0,0.25,0.4306765580733931,5,4,0.2,50.0219,52.303850000000004
