query_id,repository,category,answerable,k,precision,recall,mrr,ndcg,returned,unjudged,judged_fraction,latency_p50_ms,latency_p95_ms
click-01,click,symbol,True,1,0.0,0.0,0.0,0.0,1,1,0.0,52.8638,53.28707
click-01,click,symbol,True,5,0.0,0.0,0.0,0.0,5,5,0.0,52.8638,53.28707
click-01,click,symbol,True,10,0.0,0.0,0.0,0.0,10,10,0.0,52.8638,53.28707
click-01,click,symbol,True,20,0.0,0.0,0.0,0.0,20,20,0.0,52.8638,53.28707
click-02,click,symbol,True,1,0.0,0.0,0.0,0.0,1,1,0.0,46.6364,47.9702
click-02,click,symbol,True,5,0.0,0.0,0.0,0.0,5,5,0.0,46.6364,47.9702
click-02,click,symbol,True,10,0.1,1.0,0.125,0.3154648767857287,10,9,0.1,46.6364,47.9702
click-02,click,symbol,True,20,0.05,1.0,0.125,0.3154648767857287,20,19,0.05,46.6364,47.9702
click-03,click,symbol,True,1,0.0,0.0,0.0,0.0,1,1,0.0,44.9215,51.43651
click-03,click,symbol,True,5,0.2,1.0,0.25,0.4306765580733931,5,4,0.2,44.9215,51.43651
click-03,click,symbol,True,10,0.1,1.0,0.25,0.4306765580733931,10,9,0.1,44.9215,51.43651
click-03,click,symbol,True,20,0.05,1.0,0.25,0.4306765580733931,20,19,0.05,44.9215,51.43651
click-04,click,symbol,True,1,0.0,0.0,0.0,0.0,1,1,0.0,43.8885,44.71218
click-04,click,symbol,True,5,0.2,1.0,0.3333333333333333,0.5,5,4,0.2,43.8885,44.71218
click-04,click,symbol,True,10,0.1,1.0,0.3333333333333333,0.5,10,9,0.1,43.8885,44.71218
click-04,click,symbol,True,20,0.05,1.0,0.3333333333333333,0.5,20,19,0.05,43.8885,44.71218
click-05,click,behavior,True,1,0.0,0.0,0.0,0.0,1,1,0.0,46.6882,130.44931
click-05,click,behavior,True,5,0.2,1.0,0.25,0.4306765580733931,5,4,0.2,46.6882,130.44931
click-05,click,behavior,True,10,0.1,1.0,0.25,0.4306765580733931,10,9,0.1,46.6882,130.44931
click-05,click,behavior,True,20,0.05,1.0,0.25,0.4306765580733931,20,19,0.05,46.6882,130.44931
click-06,click,behavior,True,1,0.0,0.0,0.0,0.0,1,1,0.0,44.3636,44.95454
click-06,click,behavior,True,5,0.2,1.0,0.5,0.6309297535714574,5,4,0.2,44.3636,44.95454
click-06,click,behavior,True,10,0.1,1.0,0.5,0.6309297535714574,10,9,0.1,44.3636,44.95454
click-06,click,behavior,True,20,0.05,1.0,0.5,0.6309297535714574,20,19,0.05,44.3636,44.95454
click-07,click,behavior,True,1,0.0,0.0,0.0,0.0,1,1,0.0,45.4568,50.068039999999996
click-07,click,behavior,True,5,0.2,1.0,0.5,0.6309297535714574,5,4,0.2,45.4568,50.068039999999996
click-07,click,behavior,True,10,0.1,1.0,0.5,0.6309297535714574,10,9,0.1,45.4568,50.068039999999996
click-07,click,behavior,True,20,0.05,1.0,0.5,0.6309297535714574,20,19,0.05,45.4568,50.068039999999996
click-08,click,behavior,True,1,0.0,0.0,0.0,0.0,1,1,0.0,45.5783,46.90526
click-08,click,behavior,True,5,0.2,1.0,0.25,0.4306765580733931,5,4,0.2,45.5783,46.90526
click-08,click,behavior,True,10,0.1,1.0,0.25,0.4306765580733931,10,9,0.1,45.5783,46.90526
click-08,click,behavior,True,20,0.05,1.0,0.25,0.4306765580733931,20,19,0.05,45.5783,46.90526
click-09,click,behavior,True,1,0.0,0.0,0.0,0.0,1,1,0.0,45.4951,49.68415
click-09,click,behavior,True,5,0.2,0.5,0.3333333333333333,0.3065735963827292,5,4,0.2,45.4951,49.68415
click-09,click,behavior,True,10,0.1,0.5,0.3333333333333333,0.3065735963827292,10,9,0.1,45.4951,49.68415
click-09,click,behavior,True,20,0.1,1.0,0.3333333333333333,0.4722693621479588,20,18,0.1,45.4951,49.68415
click-10,click,behavior,True,1,0.0,0.0,0.0,0.0,1,1,0.0,45.1968,45.67371
click-10,click,behavior,True,5,0.0,0.0,0.0,0.0,5,5,0.0,45.1968,45.67371
click-10,click,behavior,True,10,0.1,1.0,0.16666666666666666,0.3562071871080222,10,9,0.1,45.1968,45.67371
click-10,click,behavior,True,20,0.05,1.0,0.16666666666666666,0.3562071871080222,20,19,0.05,45.1968,45.67371
click-11,click,behavior,True,1,1.0,1.0,1.0,1.0,1,0,1.0,42.8611,44.585139999999996
click-11,click,behavior,True,5,0.2,1.0,1.0,1.0,5,4,0.2,42.8611,44.585139999999996
click-11,click,behavior,True,10,0.1,1.0,1.0,1.0,10,9,0.1,42.8611,44.585139999999996
click-11,click,behavior,True,20,0.05,1.0,1.0,1.0,20,19,0.05,42.8611,44.585139999999996
click-12,click,behavior,True,1,0.0,0.0,0.0,0.0,1,1,0.0,47.0542,131.49948999999998
click-12,click,behavior,True,5,0.2,1.0,0.25,0.4306765580733931,5,4,0.2,47.0542,131.49948999999998
click-12,click,behavior,True,10,0.1,1.0,0.25,0.4306765580733931,10,9,0.1,47.0542,131.49948999999998
click-12,click,behavior,True,20,0.05,1.0,0.25,0.4306765580733931,20,19,0.05,47.0542,131.49948999999998
click-13,click,cross_file,True,1,0.0,0.0,0.0,0.0,1,1,0.0,49.9641,50.52642
click-13,click,cross_file,True,5,0.0,0.0,0.0,0.0,5,5,0.0,49.9641,50.52642
click-13,click,cross_file,True,10,0.1,0.5,0.1111111111111111,0.1845756967795682,10,9,0.1,49.9641,50.52642
click-13,click,cross_file,True,20,0.05,0.5,0.1111111111111111,0.1845756967795682,20,19,0.05,49.9641,50.52642
click-14,click,cross_file,True,1,1.0,0.3333333333333333,1.0,1.0,1,0,1.0,47.45,126.27721999999999
click-14,click,cross_file,True,5,0.4,0.6666666666666666,1.0,0.7039180890341348,5,3,0.4,47.45,126.27721999999999
click-14,click,cross_file,True,10,0.3,1.0,1.0,0.8451850618939638,10,7,0.3,47.45,126.27721999999999
click-14,click,cross_file,True,20,0.15,1.0,1.0,0.8451850618939638,20,17,0.15,47.45,126.27721999999999
click-15,click,cross_file,True,1,0.0,0.0,0.0,0.0,1,1,0.0,49.8307,53.96845
click-15,click,cross_file,True,5,0.2,0.5,0.3333333333333333,0.3065735963827292,5,4,0.2,49.8307,53.96845
click-15,click,cross_file,True,10,0.1,0.5,0.3333333333333333,0.3065735963827292,10,9,0.1,49.8307,53.96845
click-15,click,cross_file,True,20,0.1,1.0,0.3333333333333333,0.4776066804504473,20,18,0.1,49.8307,53.96845
click-16,click,cross_file,True,1,0.0,0.0,0.0,0.0,1,1,0.0,46.0402,46.948570000000004
click-16,click,cross_file,True,5,0.4,0.6666666666666666,0.5,0.6291344046077069,5,3,0.4,46.0402,46.948570000000004
click-16,click,cross_file,True,10,0.3,1.0,0.5,0.690945337173089,10,7,0.3,46.0402,46.948570000000004
click-16,click,cross_file,True,20,0.15,1.0,0.5,0.690945337173089,20,17,0.15,46.0402,46.948570000000004
click-17,click,test,True,1,0.0,0.0,0.0,0.0,1,1,0.0,51.9471,54.39735
click-17,click,test,True,5,0.2,1.0,0.5,0.6309297535714574,5,4,0.2,51.9471,54.39735
click-17,click,test,True,10,0.1,1.0,0.5,0.6309297535714574,10,9,0.1,51.9471,54.39735
click-17,click,test,True,20,0.05,1.0,0.5,0.6309297535714574,20,19,0.05,51.9471,54.39735
click-18,click,test,True,1,0.0,0.0,0.0,0.0,1,1,0.0,46.4977,50.05954
click-18,click,test,True,5,0.2,1.0,0.5,0.6309297535714574,5,4,0.2,46.4977,50.05954
click-18,click,test,True,10,0.1,1.0,0.5,0.6309297535714574,10,9,0.1,46.4977,50.05954
click-18,click,test,True,20,0.05,1.0,0.5,0.6309297535714574,20,19,0.05,46.4977,50.05954
click-19,click,test,True,1,0.0,0.0,0.0,0.0,1,1,0.0,51.2881,129.54327999999998
click-19,click,test,True,5,0.0,0.0,0.0,0.0,5,5,0.0,51.2881,129.54327999999998
click-19,click,test,True,10,0.1,1.0,0.1,0.2890648263178878,10,9,0.1,51.2881,129.54327999999998
click-19,click,test,True,20,0.05,1.0,0.1,0.2890648263178878,20,19,0.05,51.2881,129.54327999999998
click-20,click,test,True,1,0.0,0.0,0.0,0.0,1,1,0.0,44.7986,45.3944
click-20,click,test,True,5,0.2,1.0,0.5,0.6309297535714574,5,4,0.2,44.7986,45.3944
click-20,click,test,True,10,0.1,1.0,0.5,0.6309297535714574,10,9,0.1,44.7986,45.3944
click-20,click,test,True,20,0.05,1.0,0.5,0.6309297535714574,20,19,0.05,44.7986,45.3944
requests-01,requests,symbol,True,1,0.0,0.0,0.0,0.0,1,1,0.0,35.9019,38.9619
requests-01,requests,symbol,True,5,0.2,1.0,0.2,0.38685280723454163,5,4,0.2,35.9019,38.9619
requests-01,requests,symbol,True,10,0.1,1.0,0.2,0.38685280723454163,10,9,0.1,35.9019,38.9619
requests-01,requests,symbol,True,20,0.05,1.0,0.2,0.38685280723454163,20,19,0.05,35.9019,38.9619
requests-02,requests,symbol,True,1,0.0,0.0,0.0,0.0,1,0,1.0,26.2975,27.96286
requests-02,requests,symbol,True,5,0.0,0.0,0.0,0.0,5,4,0.2,26.2975,27.96286
requests-02,requests,symbol,True,10,0.0,0.0,0.0,0.0,10,9,0.1,26.2975,27.96286
requests-02,requests,symbol,True,20,0.05,1.0,0.08333333333333333,0.27023815442731974,20,18,0.1,26.2975,27.96286
requests-03,requests,symbol,True,1,1.0,1.0,1.0,1.0,1,0,1.0,25.1552,28.089199999999998
requests-03,requests,symbol,True,5,0.2,1.0,1.0,1.0,5,4,0.2,25.1552,28.089199999999998
requests-03,requests,symbol,True,10,0.1,1.0,1.0,1.0,10,9,0.1,25.1552,28.089199999999998
requests-03,requests,symbol,True,20,0.05,1.0,1.0,1.0,20,19,0.05,25.1552,28.089199999999998
