query_id,repository,category,answerable,k,precision,recall,mrr,ndcg,returned,unjudged,judged_fraction,latency_p50_ms,latency_p95_ms
click-01,click,symbol,True,1,0.0,0.0,0.0,0.0,1,1,0.0,42.5321,130.62878
click-01,click,symbol,True,5,0.0,0.0,0.0,0.0,5,5,0.0,42.5321,130.62878
click-01,click,symbol,True,10,0.0,0.0,0.0,0.0,10,10,0.0,42.5321,130.62878
click-01,click,symbol,True,20,0.0,0.0,0.0,0.0,20,20,0.0,42.5321,130.62878
click-02,click,symbol,True,1,0.0,0.0,0.0,0.0,1,1,0.0,38.4209,38.971250000000005
click-02,click,symbol,True,5,0.2,1.0,0.2,0.38685280723454163,5,4,0.2,38.4209,38.971250000000005
click-02,click,symbol,True,10,0.1,1.0,0.2,0.38685280723454163,10,9,0.1,38.4209,38.971250000000005
click-02,click,symbol,True,20,0.05,1.0,0.2,0.38685280723454163,20,19,0.05,38.4209,38.971250000000005
click-03,click,symbol,True,1,0.0,0.0,0.0,0.0,1,1,0.0,40.2661,41.42395
click-03,click,symbol,True,5,0.0,0.0,0.0,0.0,5,5,0.0,40.2661,41.42395
click-03,click,symbol,True,10,0.1,1.0,0.16666666666666666,0.3562071871080222,10,9,0.1,40.2661,41.42395
click-03,click,symbol,True,20,0.05,1.0,0.16666666666666666,0.3562071871080222,20,19,0.05,40.2661,41.42395
click-04,click,symbol,True,1,0.0,0.0,0.0,0.0,1,1,0.0,36.5478,37.58676
click-04,click,symbol,True,5,0.2,1.0,0.5,0.6309297535714574,5,4,0.2,36.5478,37.58676
click-04,click,symbol,True,10,0.1,1.0,0.5,0.6309297535714574,10,9,0.1,36.5478,37.58676
click-04,click,symbol,True,20,0.05,1.0,0.5,0.6309297535714574,20,19,0.05,36.5478,37.58676
click-05,click,behavior,True,1,0.0,0.0,0.0,0.0,1,1,0.0,43.5134,46.88831
click-05,click,behavior,True,5,0.2,1.0,0.5,0.6309297535714574,5,4,0.2,43.5134,46.88831
click-05,click,behavior,True,10,0.1,1.0,0.5,0.6309297535714574,10,9,0.1,43.5134,46.88831
click-05,click,behavior,True,20,0.05,1.0,0.5,0.6309297535714574,20,19,0.05,43.5134,46.88831
click-06,click,behavior,True,1,1.0,1.0,1.0,1.0,1,0,1.0,42.4322,132.13421
click-06,click,behavior,True,5,0.2,1.0,1.0,1.0,5,4,0.2,42.4322,132.13421
click-06,click,behavior,True,10,0.1,1.0,1.0,1.0,10,9,0.1,42.4322,132.13421
click-06,click,behavior,True,20,0.05,1.0,1.0,1.0,20,19,0.05,42.4322,132.13421
click-07,click,behavior,True,1,0.0,0.0,0.0,0.0,1,1,0.0,37.4428,38.67823
click-07,click,behavior,True,5,0.2,1.0,0.5,0.6309297535714574,5,4,0.2,37.4428,38.67823
click-07,click,behavior,True,10,0.1,1.0,0.5,0.6309297535714574,10,9,0.1,37.4428,38.67823
click-07,click,behavior,True,20,0.05,1.0,0.5,0.6309297535714574,20,19,0.05,37.4428,38.67823
click-08,click,behavior,True,1,0.0,0.0,0.0,0.0,1,1,0.0,39.6288,42.34176
click-08,click,behavior,True,5,0.2,1.0,0.3333333333333333,0.5,5,4,0.2,39.6288,42.34176
click-08,click,behavior,True,10,0.1,1.0,0.3333333333333333,0.5,10,9,0.1,39.6288,42.34176
click-08,click,behavior,True,20,0.05,1.0,0.3333333333333333,0.5,20,19,0.05,39.6288,42.34176
click-09,click,behavior,True,1,0.0,0.0,0.0,0.0,1,1,0.0,41.7524,123.15128000000001
click-09,click,behavior,True,5,0.0,0.0,0.0,0.0,5,5,0.0,41.7524,123.15128000000001
click-09,click,behavior,True,10,0.0,0.0,0.0,0.0,10,10,0.0,41.7524,123.15128000000001
click-09,click,behavior,True,20,0.1,1.0,0.09090909090909091,0.33672884983294765,20,18,0.1,41.7524,123.15128000000001
click-10,click,behavior,True,1,0.0,0.0,0.0,0.0,1,1,0.0,39.9636,44.28747
click-10,click,behavior,True,5,0.2,1.0,0.25,0.4306765580733931,5,4,0.2,39.9636,44.28747
click-10,click,behavior,True,10,0.1,1.0,0.25,0.4306765580733931,10,9,0.1,39.9636,44.28747
click-10,click,behavior,True,20,0.05,1.0,0.25,0.4306765580733931,20,19,0.05,39.9636,44.28747
click-11,click,behavior,True,1,1.0,1.0,1.0,1.0,1,0,1.0,37.0542,42.61008
click-11,click,behavior,True,5,0.2,1.0,1.0,1.0,5,4,0.2,37.0542,42.61008
click-11,click,behavior,True,10,0.1,1.0,1.0,1.0,10,9,0.1,37.0542,42.61008
click-11,click,behavior,True,20,0.05,1.0,1.0,1.0,20,19,0.05,37.0542,42.61008
click-12,click,behavior,True,1,0.0,0.0,0.0,0.0,1,1,0.0,43.681,44.248270000000005
click-12,click,behavior,True,5,0.2,1.0,0.3333333333333333,0.5,5,4,0.2,43.681,44.248270000000005
click-12,click,behavior,True,10,0.1,1.0,0.3333333333333333,0.5,10,9,0.1,43.681,44.248270000000005
click-12,click,behavior,True,20,0.05,1.0,0.3333333333333333,0.5,20,19,0.05,43.681,44.248270000000005
click-13,click,cross_file,True,1,0.0,0.0,0.0,0.0,1,1,0.0,44.9033,48.407360000000004
click-13,click,cross_file,True,5,0.0,0.0,0.0,0.0,5,5,0.0,44.9033,48.407360000000004
click-13,click,cross_file,True,10,0.1,0.5,0.125,0.1934264036172708,10,9,0.1,44.9033,48.407360000000004
click-13,click,cross_file,True,20,0.05,0.5,0.125,0.1934264036172708,20,19,0.05,44.9033,48.407360000000004
click-14,click,cross_file,True,1,0.0,0.0,0.0,0.0,1,1,0.0,37.2831,40.95708
click-14,click,cross_file,True,5,0.2,0.3333333333333333,0.5,0.2960819109658653,5,4,0.2,37.2831,40.95708
click-14,click,cross_file,True,10,0.2,0.6666666666666666,0.5,0.45250815297345076,10,8,0.2,37.2831,40.95708
click-14,click,cross_file,True,20,0.15,1.0,0.5,0.5726238087715021,20,17,0.15,37.2831,40.95708
click-15,click,cross_file,True,1,0.0,0.0,0.0,0.0,1,1,0.0,44.1902,47.38016
click-15,click,cross_file,True,5,0.2,0.5,0.5,0.3868528072345416,5,4,0.2,44.1902,47.38016
click-15,click,cross_file,True,10,0.1,0.5,0.5,0.3868528072345416,10,9,0.1,44.1902,47.38016
click-15,click,cross_file,True,20,0.1,1.0,0.5,0.5578858913022596,20,18,0.1,44.1902,47.38016
click-16,click,cross_file,True,1,1.0,0.3333333333333333,1.0,1.0,1,0,1.0,38.4575,38.981840000000005
click-16,click,cross_file,True,5,0.2,0.3333333333333333,1.0,0.5562983930884396,5,4,0.2,38.4575,38.981840000000005
click-16,click,cross_file,True,10,0.1,0.3333333333333333,1.0,0.5562983930884396,10,9,0.1,38.4575,38.981840000000005
click-16,click,cross_file,True,20,0.1,0.6666666666666666,1.0,0.6897056828828664,20,18,0.1,38.4575,38.981840000000005
click-17,click,test,True,1,0.0,0.0,0.0,0.0,1,1,0.0,39.8178,40.35825
click-17,click,test,True,5,0.2,1.0,0.5,0.6309297535714574,5,4,0.2,39.8178,40.35825
