query_id,repository,category,answerable,k,precision,recall,mrr,ndcg,returned,unjudged,judged_fraction,latency_p50_ms,latency_p95_ms
click-01,click,symbol,True,1,0.0,0.0,0.0,0.0,1,1,0.0,91.2614,96.81557
click-01,click,symbol,True,5,0.0,0.0,0.0,0.0,5,5,0.0,91.2614,96.81557
click-01,click,symbol,True,10,0.1,1.0,0.1111111111111111,0.3010299956639812,10,9,0.1,91.2614,96.81557
click-01,click,symbol,True,20,0.05,1.0,0.1111111111111111,0.3010299956639812,20,19,0.05,91.2614,96.81557
click-02,click,symbol,True,1,0.0,0.0,0.0,0.0,1,1,0.0,90.212,177.3059
click-02,click,symbol,True,5,0.0,0.0,0.0,0.0,5,5,0.0,90.212,177.3059
click-02,click,symbol,True,10,0.1,1.0,0.125,0.3154648767857287,10,9,0.1,90.212,177.3059
click-02,click,symbol,True,20,0.05,1.0,0.125,0.3154648767857287,20,19,0.05,90.212,177.3059
click-03,click,symbol,True,1,0.0,0.0,0.0,0.0,1,1,0.0,89.6004,94.13360999999999
click-03,click,symbol,True,5,0.2,1.0,0.3333333333333333,0.5,5,4,0.2,89.6004,94.13360999999999
click-03,click,symbol,True,10,0.1,1.0,0.3333333333333333,0.5,10,9,0.1,89.6004,94.13360999999999
click-03,click,symbol,True,20,0.05,1.0,0.3333333333333333,0.5,20,19,0.05,89.6004,94.13360999999999
click-04,click,symbol,True,1,1.0,1.0,1.0,1.0,1,0,1.0,75.2419,75.53953
click-04,click,symbol,True,5,0.2,1.0,1.0,1.0,5,4,0.2,75.2419,75.53953
click-04,click,symbol,True,10,0.1,1.0,1.0,1.0,10,9,0.1,75.2419,75.53953
click-04,click,symbol,True,20,0.05,1.0,1.0,1.0,20,19,0.05,75.2419,75.53953
click-05,click,behavior,True,1,0.0,0.0,0.0,0.0,1,1,0.0,95.7482,190.42964
click-05,click,behavior,True,5,0.0,0.0,0.0,0.0,5,5,0.0,95.7482,190.42964
click-05,click,behavior,True,10,0.0,0.0,0.0,0.0,10,10,0.0,95.7482,190.42964
click-05,click,behavior,True,20,0.0,0.0,0.0,0.0,20,20,0.0,95.7482,190.42964
click-06,click,behavior,True,1,0.0,0.0,0.0,0.0,1,1,0.0,95.6396,99.96715999999999
click-06,click,behavior,True,5,0.2,1.0,0.25,0.4306765580733931,5,4,0.2,95.6396,99.96715999999999
click-06,click,behavior,True,10,0.1,1.0,0.25,0.4306765580733931,10,9,0.1,95.6396,99.96715999999999
click-06,click,behavior,True,20,0.05,1.0,0.25,0.4306765580733931,20,19,0.05,95.6396,99.96715999999999
click-07,click,behavior,True,1,0.0,0.0,0.0,0.0,1,1,0.0,94.9004,99.98981
click-07,click,behavior,True,5,0.2,1.0,0.3333333333333333,0.5,5,4,0.2,94.9004,99.98981
click-07,click,behavior,True,10,0.1,1.0,0.3333333333333333,0.5,10,9,0.1,94.9004,99.98981
click-07,click,behavior,True,20,0.05,1.0,0.3333333333333333,0.5,20,19,0.05,94.9004,99.98981
click-08,click,behavior,True,1,0.0,0.0,0.0,0.0,1,1,0.0,90.5807,93.76813999999999
click-08,click,behavior,True,5,0.0,0.0,0.0,0.0,5,5,0.0,90.5807,93.76813999999999
click-08,click,behavior,True,10,0.1,1.0,0.125,0.3154648767857287,10,9,0.1,90.5807,93.76813999999999
click-08,click,behavior,True,20,0.05,1.0,0.125,0.3154648767857287,20,19,0.05,90.5807,93.76813999999999
click-09,click,behavior,True,1,0.0,0.0,0.0,0.0,1,1,0.0,97.1748,100.65834
click-09,click,behavior,True,5,0.0,0.0,0.0,0.0,5,5,0.0,97.1748,100.65834
click-09,click,behavior,True,10,0.1,0.5,0.1,0.17723928678404774,10,9,0.1,97.1748,100.65834
click-09,click,behavior,True,20,0.1,1.0,0.1,0.34293505254927725,20,18,0.1,97.1748,100.65834
click-10,click,behavior,True,1,1.0,1.0,1.0,1.0,1,0,1.0,96.7478,97.88144
click-10,click,behavior,True,5,0.2,1.0,1.0,1.0,5,4,0.2,96.7478,97.88144
click-10,click,behavior,True,10,0.1,1.0,1.0,1.0,10,9,0.1,96.7478,97.88144
click-10,click,behavior,True,20,0.05,1.0,1.0,1.0,20,19,0.05,96.7478,97.88144
click-11,click,behavior,True,1,1.0,1.0,1.0,1.0,1,0,1.0,109.6972,110.94415000000001
click-11,click,behavior,True,5,0.2,1.0,1.0,1.0,5,4,0.2,109.6972,110.94415000000001
click-11,click,behavior,True,10,0.1,1.0,1.0,1.0,10,9,0.1,109.6972,110.94415000000001
click-11,click,behavior,True,20,0.05,1.0,1.0,1.0,20,19,0.05,109.6972,110.94415000000001
click-12,click,behavior,True,1,0.0,0.0,0.0,0.0,1,1,0.0,93.6308,169.87223
click-12,click,behavior,True,5,0.2,1.0,0.5,0.6309297535714574,5,4,0.2,93.6308,169.87223
click-12,click,behavior,True,10,0.1,1.0,0.5,0.6309297535714574,10,9,0.1,93.6308,169.87223
click-12,click,behavior,True,20,0.05,1.0,0.5,0.6309297535714574,20,19,0.05,93.6308,169.87223
click-13,click,cross_file,True,1,0.0,0.0,0.0,0.0,1,1,0.0,108.9298,108.99613000000001
click-13,click,cross_file,True,5,0.0,0.0,0.0,0.0,5,5,0.0,108.9298,108.99613000000001
click-13,click,cross_file,True,10,0.0,0.0,0.0,0.0,10,10,0.0,108.9298,108.99613000000001
click-13,click,cross_file,True,20,0.0,0.0,0.0,0.0,20,20,0.0,108.9298,108.99613000000001
click-14,click,cross_file,True,1,0.0,0.0,0.0,0.0,1,1,0.0,100.3285,101.11393
click-14,click,cross_file,True,5,0.2,0.3333333333333333,0.2,0.1815417925373527,5,4,0.2,100.3285,101.11393
click-14,click,cross_file,True,10,0.3,1.0,0.2,0.4967432029864876,10,7,0.3,100.3285,101.11393
click-14,click,cross_file,True,20,0.15,1.0,0.2,0.4967432029864876,20,17,0.15,100.3285,101.11393
click-15,click,cross_file,True,1,0.0,0.0,0.0,0.0,1,1,0.0,111.4256,112.72196
click-15,click,cross_file,True,5,0.0,0.0,0.0,0.0,5,5,0.0,111.4256,112.72196
click-15,click,cross_file,True,10,0.2,1.0,0.14285714285714285,0.39780880120575696,10,8,0.2,111.4256,112.72196
click-15,click,cross_file,True,20,0.1,1.0,0.14285714285714285,0.39780880120575696,20,18,0.1,111.4256,112.72196
click-16,click,cross_file,True,1,1.0,0.3333333333333333,1.0,0.3333333333333333,1,0,1.0,91.1587,95.97325000000001
click-16,click,cross_file,True,5,0.4,0.6666666666666666,1.0,0.5364180057596336,5,3,0.4,91.1587,95.97325000000001
click-16,click,cross_file,True,10,0.2,0.6666666666666666,1.0,0.5364180057596336,10,8,0.2,91.1587,95.97325000000001
click-16,click,cross_file,True,20,0.15,1.0,1.0,0.6915935181887131,20,17,0.15,91.1587,95.97325000000001
click-17,click,test,True,1,0.0,0.0,0.0,0.0,1,1,0.0,103.1525,196.44469999999998
click-17,click,test,True,5,0.2,1.0,0.5,0.6309297535714574,5,4,0.2,103.1525,196.44469999999998
click-17,click,test,True,10,0.1,1.0,0.5,0.6309297535714574,10,9,0.1,103.1525,196.44469999999998
click-17,click,test,True,20,0.05,1.0,0.5,0.6309297535714574,20,19,0.05,103.1525,196.44469999999998
click-18,click,test,True,1,0.0,0.0,0.0,0.0,1,1,0.0,97.9606,101.19915999999999
click-18,click,test,True,5,0.2,1.0,0.5,0.6309297535714574,5,4,0.2,97.9606,101.19915999999999
click-18,click,test,True,10,0.1,1.0,0.5,0.6309297535714574,10,9,0.1,97.9606,101.19915999999999
click-18,click,test,True,20,0.05,1.0,0.5,0.6309297535714574,20,19,0.05,97.9606,101.19915999999999
click-19,click,test,True,1,1.0,1.0,1.0,1.0,1,0,1.0,102.6418,104.62764999999999
