query_id,repository,category,answerable,k,precision,recall,mrr,ndcg,returned,unjudged,judged_fraction,latency_p50_ms,latency_p95_ms
click-01,click,symbol,True,1,0.0,0.0,0.0,0.0,1,1,0.0,84.3836,89.59846999999999
click-01,click,symbol,True,5,0.2,1.0,0.2,0.38685280723454163,5,4,0.2,84.3836,89.59846999999999
click-01,click,symbol,True,10,0.1,1.0,0.2,0.38685280723454163,10,9,0.1,84.3836,89.59846999999999
click-01,click,symbol,True,20,0.05,1.0,0.2,0.38685280723454163,20,19,0.05,84.3836,89.59846999999999
click-02,click,symbol,True,1,0.0,0.0,0.0,0.0,1,1,0.0,81.4679,169.93871
click-02,click,symbol,True,5,0.0,0.0,0.0,0.0,5,5,0.0,81.4679,169.93871
click-02,click,symbol,True,10,0.1,1.0,0.14285714285714285,0.3333333333333333,10,9,0.1,81.4679,169.93871
click-02,click,symbol,True,20,0.05,1.0,0.14285714285714285,0.3333333333333333,20,19,0.05,81.4679,169.93871
click-03,click,symbol,True,1,0.0,0.0,0.0,0.0,1,1,0.0,98.7839,100.91123
click-03,click,symbol,True,5,0.2,1.0,0.5,0.6309297535714574,5,4,0.2,98.7839,100.91123
click-03,click,symbol,True,10,0.1,1.0,0.5,0.6309297535714574,10,9,0.1,98.7839,100.91123
click-03,click,symbol,True,20,0.05,1.0,0.5,0.6309297535714574,20,19,0.05,98.7839,100.91123
click-04,click,symbol,True,1,1.0,1.0,1.0,1.0,1,0,1.0,75.4917,76.04412
click-04,click,symbol,True,5,0.2,1.0,1.0,1.0,5,4,0.2,75.4917,76.04412
click-04,click,symbol,True,10,0.1,1.0,1.0,1.0,10,9,0.1,75.4917,76.04412
click-04,click,symbol,True,20,0.05,1.0,1.0,1.0,20,19,0.05,75.4917,76.04412
click-05,click,behavior,True,1,0.0,0.0,0.0,0.0,1,1,0.0,87.4571,92.63885
click-05,click,behavior,True,5,0.0,0.0,0.0,0.0,5,5,0.0,87.4571,92.63885
click-05,click,behavior,True,10,0.0,0.0,0.0,0.0,10,10,0.0,87.4571,92.63885
click-05,click,behavior,True,20,0.05,1.0,0.05,0.22767024869695296,20,19,0.05,87.4571,92.63885
click-06,click,behavior,True,1,0.0,0.0,0.0,0.0,1,1,0.0,90.7535,97.30172
click-06,click,behavior,True,5,0.2,1.0,0.3333333333333333,0.5,5,4,0.2,90.7535,97.30172
click-06,click,behavior,True,10,0.1,1.0,0.3333333333333333,0.5,10,9,0.1,90.7535,97.30172
click-06,click,behavior,True,20,0.05,1.0,0.3333333333333333,0.5,20,19,0.05,90.7535,97.30172
click-07,click,behavior,True,1,0.0,0.0,0.0,0.0,1,1,0.0,89.6364,90.50193
click-07,click,behavior,True,5,0.2,1.0,0.5,0.6309297535714574,5,4,0.2,89.6364,90.50193
click-07,click,behavior,True,10,0.1,1.0,0.5,0.6309297535714574,10,9,0.1,89.6364,90.50193
click-07,click,behavior,True,20,0.05,1.0,0.5,0.6309297535714574,20,19,0.05,89.6364,90.50193
click-08,click,behavior,True,1,0.0,0.0,0.0,0.0,1,1,0.0,84.9011,164.82703999999998
click-08,click,behavior,True,5,0.0,0.0,0.0,0.0,5,5,0.0,84.9011,164.82703999999998
click-08,click,behavior,True,10,0.1,1.0,0.16666666666666666,0.3562071871080222,10,9,0.1,84.9011,164.82703999999998
click-08,click,behavior,True,20,0.05,1.0,0.16666666666666666,0.3562071871080222,20,19,0.05,84.9011,164.82703999999998
click-09,click,behavior,True,1,0.0,0.0,0.0,0.0,1,1,0.0,87.5739,90.69330000000001
click-09,click,behavior,True,5,0.0,0.0,0.0,0.0,5,5,0.0,87.5739,90.69330000000001
click-09,click,behavior,True,10,0.1,0.5,0.1,0.17723928678404774,10,9,0.1,87.5739,90.69330000000001
click-09,click,behavior,True,20,0.1,1.0,0.1,0.3272460798923856,20,18,0.1,87.5739,90.69330000000001
click-10,click,behavior,True,1,0.0,0.0,0.0,0.0,1,1,0.0,97.159,106.50226
click-10,click,behavior,True,5,0.0,0.0,0.0,0.0,5,5,0.0,97.159,106.50226
click-10,click,behavior,True,10,0.1,1.0,0.14285714285714285,0.3333333333333333,10,9,0.1,97.159,106.50226
click-10,click,behavior,True,20,0.05,1.0,0.14285714285714285,0.3333333333333333,20,19,0.05,97.159,106.50226
click-11,click,behavior,True,1,1.0,1.0,1.0,1.0,1,0,1.0,99.1166,100.70744
click-11,click,behavior,True,5,0.2,1.0,1.0,1.0,5,4,0.2,99.1166,100.70744
click-11,click,behavior,True,10,0.1,1.0,1.0,1.0,10,9,0.1,99.1166,100.70744
click-11,click,behavior,True,20,0.05,1.0,1.0,1.0,20,19,0.05,99.1166,100.70744
click-12,click,behavior,True,1,0.0,0.0,0.0,0.0,1,1,0.0,93.474,179.27325
click-12,click,behavior,True,5,0.2,1.0,0.5,0.6309297535714574,5,4,0.2,93.474,179.27325
click-12,click,behavior,True,10,0.1,1.0,0.5,0.6309297535714574,10,9,0.1,93.474,179.27325
click-12,click,behavior,True,20,0.05,1.0,0.5,0.6309297535714574,20,19,0.05,93.474,179.27325
click-13,click,cross_file,True,1,0.0,0.0,0.0,0.0,1,1,0.0,110.212,111.24502000000001
click-13,click,cross_file,True,5,0.0,0.0,0.0,0.0,5,5,0.0,110.212,111.24502000000001
click-13,click,cross_file,True,10,0.0,0.0,0.0,0.0,10,10,0.0,110.212,111.24502000000001
click-13,click,cross_file,True,20,0.0,0.0,0.0,0.0,20,20,0.0,110.212,111.24502000000001
click-14,click,cross_file,True,1,0.0,0.0,0.0,0.0,1,1,0.0,96.6819,105.55599000000001
click-14,click,cross_file,True,5,0.4,0.6666666666666666,0.5,0.5307212739772436,5,3,0.4,96.6819,105.55599000000001
click-14,click,cross_file,True,10,0.2,0.6666666666666666,0.5,0.5307212739772436,10,8,0.2,96.6819,105.55599000000001
click-14,click,cross_file,True,20,0.15,1.0,0.5,0.653977113169967,20,17,0.15,96.6819,105.55599000000001
click-15,click,cross_file,True,1,0.0,0.0,0.0,0.0,1,1,0.0,96.7274,100.33613
click-15,click,cross_file,True,5,0.2,0.5,0.2,0.23719771276929622,5,4,0.2,96.7274,100.33613
click-15,click,cross_file,True,10,0.1,0.5,0.2,0.23719771276929622,10,9,0.1,96.7274,100.33613
click-15,click,cross_file,True,20,0.1,1.0,0.2,0.39824053785850433,20,18,0.1,96.7274,100.33613
click-16,click,cross_file,True,1,1.0,0.3333333333333333,1.0,1.0,1,0,1.0,86.9674,90.34915000000001
click-16,click,cross_file,True,5,0.2,0.3333333333333333,1.0,0.5562983930884396,5,4,0.2,86.9674,90.34915000000001
click-16,click,cross_file,True,10,0.2,0.6666666666666666,1.0,0.6121192273748706,10,8,0.2,86.9674,90.34915000000001
click-16,click,cross_file,True,20,0.1,0.6666666666666666,1.0,0.6121192273748706,20,18,0.1,86.9674,90.34915000000001
click-17,click,test,True,1,0.0,0.0,0.0,0.0,1,1,0.0,97.4978,179.36234000000002
click-17,click,test,True,5,0.2,1.0,0.5,0.6309297535714574,5,4,0.2,97.4978,179.36234000000002
click-17,click,test,True,10,0.1,1.0,0.5,0.6309297535714574,10,9,0.1,97.4978,179.36234000000002
click-17,click,test,True,20,0.05,1.0,0.5,0.6309297535714574,20,19,0.05,97.4978,179.36234000000002
click-18,click,test,True,1,0.0,0.0,0.0,0.0,1,1,0.0,92.035,103.23684999999999
click-18,click,test,True,5,0.2,1.0,0.5,0.6309297535714574,5,4,0.2,92.035,103.23684999999999
click-18,click,test,True,10,0.1,1.0,0.5,0.6309297535714574,10,9,0.1,92.035,103.23684999999999
click-18,click,test,True,20,0.05,1.0,0.5,0.6309297535714574,20,19,0.05,92.035,103.23684999999999
click-19,click,test,True,1,1.0,1.0,1.0,1.0,1,0,1.0,85.6703,89.0165
click-19,click,test,True,5,0.2,1.0,1.0,1.0,5,4,0.2,85.6703,89.0165
click-19,click,test,True,10,0.1,1.0,1.0,1.0,10,9,0.1,85.6703,89.0165
click-19,click,test,True,20,0.05,1.0,1.0,1.0,20,19,0.05,85.6703,89.0165
click-20,click,test,True,1,1.0,1.0,1.0,1.0,1,0,1.0,88.8436,93.27898
click-20,click,test,True,5,0.2,1.0,1.0,1.0,5,4,0.2,88.8436,93.27898
click-20,click,test,True,10,0.1,1.0,1.0,1.0,10,9,0.1,88.8436,93.27898
click-20,click,test,True,20,0.05,1.0,1.0,1.0,20,19,0.05,88.8436,93.27898
requests-01,requests,symbol,True,1,1.0,1.0,1.0,1.0,1,0,1.0,41.3464,41.60659
requests-01,requests,symbol,True,5,0.2,1.0,1.0,1.0,5,4,0.2,41.3464,41.60659
requests-01,requests,symbol,True,10,0.1,1.0,1.0,1.0,10,9,0.1,41.3464,41.60659
requests-01,requests,symbol,True,20,0.05,1.0,1.0,1.0,20,19,0.05,41.3464,41.60659
requests-02,requests,symbol,True,1,0.0,0.0,0.0,0.0,1,0,1.0,48.9696,49.41789
requests-02,requests,symbol,True,5,0.0,0.0,0.0,0.0,5,4,0.2,48.9696,49.41789
requests-02,requests,symbol,True,10,0.1,1.0,0.1111111111111111,0.3010299956639812,10,8,0.2,48.9696,49.41789
requests-02,requests,symbol,True,20,0.05,1.0,0.1111111111111111,0.3010299956639812,20,18,0.1,48.9696,49.41789
requests-03,requests,symbol,True,1,0.0,0.0,0.0,0.0,1,1,0.0,50.5235,54.5114
requests-03,requests,symbol,True,5,0.2,1.0,0.5,0.6309297535714574,5,4,0.2,50.5235,54.5114
requests-03,requests,symbol,True,10,0.1,1.0,0.5,0.6309297535714574,10,9,0.1,50.5235,54.5114
requests-03,requests,symbol,True,20,0.05,1.0,0.5,0.6309297535714574,20,19,0.05,50.5235,54.5114
requests-04,requests,symbol,True,1,1.0,1.0,1.0,1.0,1,0,1.0,44.4983,44.679469999999995
requests-04,requests,symbol,True,5,0.2,1.0,1.0,1.0,5,4,0.2,44.4983,44.679469999999995
requests-04,requests,symbol,True,10,0.1,1.0,1.0,1.0,10,9,0.1,44.4983,44.679469999999995
requests-04,requests,symbol,True,20,0.05,1.0,1.0,1.0,20,19,0.05,44.4983,44.679469999999995
requests-05,requests,behavior,True,1,1.0,1.0,1.0,1.0,1,0,1.0,48.6083,48.83636
requests-05,requests,behavior,True,5,0.2,1.0,1.0,1.0,5,4,0.2,48.6083,48.83636
requests-05,requests,behavior,True,10,0.1,1.0,1.0,1.0,10,9,0.1,48.6083,48.83636
