query_id,repository,category,answerable,k,precision,recall,mrr,ndcg,returned,unjudged,judged_fraction,latency_p50_ms,latency_p95_ms
repoqa-marshmallow-01,marshmallow,behavior,True,1,1.0,1.0,1.0,1.0,1,0,1.0,35.2213,41.30404
repoqa-marshmallow-01,marshmallow,behavior,True,5,0.2,1.0,1.0,1.0,5,4,0.2,35.2213,41.30404
repoqa-marshmallow-01,marshmallow,behavior,True,10,0.1,1.0,1.0,1.0,10,9,0.1,35.2213,41.30404
repoqa-marshmallow-01,marshmallow,behavior,True,20,0.05,1.0,1.0,1.0,20,19,0.05,35.2213,41.30404
repoqa-marshmallow-02,marshmallow,behavior,True,1,0.0,0.0,0.0,0.0,1,1,0.0,34.8884,36.78488
repoqa-marshmallow-02,marshmallow,behavior,True,5,0.0,0.0,0.0,0.0,5,5,0.0,34.8884,36.78488
repoqa-marshmallow-02,marshmallow,behavior,True,10,0.0,0.0,0.0,0.0,10,10,0.0,34.8884,36.78488
repoqa-marshmallow-02,marshmallow,behavior,True,20,0.0,0.0,0.0,0.0,20,20,0.0,34.8884,36.78488
repoqa-marshmallow-03,marshmallow,behavior,True,1,0.0,0.0,0.0,0.0,1,1,0.0,27.0801,27.54288
repoqa-marshmallow-03,marshmallow,behavior,True,5,0.0,0.0,0.0,0.0,5,5,0.0,27.0801,27.54288
repoqa-marshmallow-03,marshmallow,behavior,True,10,0.0,0.0,0.0,0.0,10,10,0.0,27.0801,27.54288
repoqa-marshmallow-03,marshmallow,behavior,True,20,0.0,0.0,0.0,0.0,20,20,0.0,27.0801,27.54288
repoqa-marshmallow-04,marshmallow,behavior,True,1,1.0,1.0,1.0,1.0,1,0,1.0,30.2489,32.66027
repoqa-marshmallow-04,marshmallow,behavior,True,5,0.2,1.0,1.0,1.0,5,4,0.2,30.2489,32.66027
repoqa-marshmallow-04,marshmallow,behavior,True,10,0.1,1.0,1.0,1.0,10,9,0.1,30.2489,32.66027
repoqa-marshmallow-04,marshmallow,behavior,True,20,0.05,1.0,1.0,1.0,20,19,0.05,30.2489,32.66027
repoqa-marshmallow-05,marshmallow,behavior,True,1,0.0,0.0,0.0,0.0,1,1,0.0,38.4718,44.590360000000004
repoqa-marshmallow-05,marshmallow,behavior,True,5,0.0,0.0,0.0,0.0,5,5,0.0,38.4718,44.590360000000004
repoqa-marshmallow-05,marshmallow,behavior,True,10,0.0,0.0,0.0,0.0,10,10,0.0,38.4718,44.590360000000004
repoqa-marshmallow-05,marshmallow,behavior,True,20,0.0,0.0,0.0,0.0,20,20,0.0,38.4718,44.590360000000004
repoqa-marshmallow-06,marshmallow,behavior,True,1,0.0,0.0,0.0,0.0,1,1,0.0,28.3952,32.694050000000004
repoqa-marshmallow-06,marshmallow,behavior,True,5,0.0,0.0,0.0,0.0,5,5,0.0,28.3952,32.694050000000004
repoqa-marshmallow-06,marshmallow,behavior,True,10,0.0,0.0,0.0,0.0,10,10,0.0,28.3952,32.694050000000004
repoqa-marshmallow-06,marshmallow,behavior,True,20,0.0,0.0,0.0,0.0,20,20,0.0,28.3952,32.694050000000004
repoqa-marshmallow-07,marshmallow,behavior,True,1,0.0,0.0,0.0,0.0,1,1,0.0,28.1488,32.29942
repoqa-marshmallow-07,marshmallow,behavior,True,5,0.2,1.0,0.3333333333333333,0.5,5,4,0.2,28.1488,32.29942
repoqa-marshmallow-07,marshmallow,behavior,True,10,0.1,1.0,0.3333333333333333,0.5,10,9,0.1,28.1488,32.29942
repoqa-marshmallow-07,marshmallow,behavior,True,20,0.05,1.0,0.3333333333333333,0.5,20,19,0.05,28.1488,32.29942
repoqa-marshmallow-08,marshmallow,behavior,True,1,0.0,0.0,0.0,0.0,1,1,0.0,26.2817,28.81538
repoqa-marshmallow-08,marshmallow,behavior,True,5,0.0,0.0,0.0,0.0,5,5,0.0,26.2817,28.81538
repoqa-marshmallow-08,marshmallow,behavior,True,10,0.0,0.0,0.0,0.0,10,10,0.0,26.2817,28.81538
repoqa-marshmallow-08,marshmallow,behavior,True,20,0.0,0.0,0.0,0.0,20,20,0.0,26.2817,28.81538
repoqa-marshmallow-09,marshmallow,behavior,True,1,0.0,0.0,0.0,0.0,1,1,0.0,31.3637,33.58895
repoqa-marshmallow-09,marshmallow,behavior,True,5,0.0,0.0,0.0,0.0,5,5,0.0,31.3637,33.58895
repoqa-marshmallow-09,marshmallow,behavior,True,10,0.0,0.0,0.0,0.0,10,10,0.0,31.3637,33.58895
repoqa-marshmallow-09,marshmallow,behavior,True,20,0.0,0.0,0.0,0.0,20,20,0.0,31.3637,33.58895
repoqa-marshmallow-10,marshmallow,behavior,True,1,0.0,0.0,0.0,0.0,1,1,0.0,31.2091,35.74591
repoqa-marshmallow-10,marshmallow,behavior,True,5,0.0,0.0,0.0,0.0,5,5,0.0,31.2091,35.74591
repoqa-marshmallow-10,marshmallow,behavior,True,10,0.0,0.0,0.0,0.0,10,10,0.0,31.2091,35.74591
repoqa-marshmallow-10,marshmallow,behavior,True,20,0.05,1.0,0.09090909090909091,0.2789429456511298,20,19,0.05,31.2091,35.74591
