query_id,repository,category,answerable,k,precision,recall,mrr,ndcg,returned,unjudged,judged_fraction,latency_p50_ms,latency_p95_ms
repoqa-marshmallow-01,marshmallow,behavior,True,1,1.0,1.0,1.0,1.0,1,0,1.0,82.041,87.69786
repoqa-marshmallow-01,marshmallow,behavior,True,5,0.2,1.0,1.0,1.0,5,4,0.2,82.041,87.69786
repoqa-marshmallow-01,marshmallow,behavior,True,10,0.1,1.0,1.0,1.0,10,9,0.1,82.041,87.69786
repoqa-marshmallow-01,marshmallow,behavior,True,20,0.05,1.0,1.0,1.0,20,19,0.05,82.041,87.69786
repoqa-marshmallow-02,marshmallow,behavior,True,1,0.0,0.0,0.0,0.0,1,1,0.0,81.2972,81.95978
repoqa-marshmallow-02,marshmallow,behavior,True,5,0.2,1.0,0.25,0.4306765580733931,5,4,0.2,81.2972,81.95978
repoqa-marshmallow-02,marshmallow,behavior,True,10,0.1,1.0,0.25,0.4306765580733931,10,9,0.1,81.2972,81.95978
repoqa-marshmallow-02,marshmallow,behavior,True,20,0.05,1.0,0.25,0.4306765580733931,20,19,0.05,81.2972,81.95978
repoqa-marshmallow-03,marshmallow,behavior,True,1,0.0,0.0,0.0,0.0,1,1,0.0,70.5798,75.69099
repoqa-marshmallow-03,marshmallow,behavior,True,5,0.0,0.0,0.0,0.0,5,5,0.0,70.5798,75.69099
repoqa-marshmallow-03,marshmallow,behavior,True,10,0.0,0.0,0.0,0.0,10,10,0.0,70.5798,75.69099
repoqa-marshmallow-03,marshmallow,behavior,True,20,0.05,1.0,0.05,0.22767024869695296,20,19,0.05,70.5798,75.69099
repoqa-marshmallow-04,marshmallow,behavior,True,1,1.0,1.0,1.0,1.0,1,0,1.0,90.5544,96.45678
repoqa-marshmallow-04,marshmallow,behavior,True,5,0.2,1.0,1.0,1.0,5,4,0.2,90.5544,96.45678
repoqa-marshmallow-04,marshmallow,behavior,True,10,0.1,1.0,1.0,1.0,10,9,0.1,90.5544,96.45678
repoqa-marshmallow-04,marshmallow,behavior,True,20,0.05,1.0,1.0,1.0,20,19,0.05,90.5544,96.45678
repoqa-marshmallow-05,marshmallow,behavior,True,1,0.0,0.0,0.0,0.0,1,1,0.0,89.7363,190.72278
repoqa-marshmallow-05,marshmallow,behavior,True,5,0.0,0.0,0.0,0.0,5,5,0.0,89.7363,190.72278
repoqa-marshmallow-05,marshmallow,behavior,True,10,0.0,0.0,0.0,0.0,10,10,0.0,89.7363,190.72278
repoqa-marshmallow-05,marshmallow,behavior,True,20,0.0,0.0,0.0,0.0,20,20,0.0,89.7363,190.72278
repoqa-marshmallow-06,marshmallow,behavior,True,1,0.0,0.0,0.0,0.0,1,1,0.0,76.8593,80.11999999999999
repoqa-marshmallow-06,marshmallow,behavior,True,5,0.0,0.0,0.0,0.0,5,5,0.0,76.8593,80.11999999999999
repoqa-marshmallow-06,marshmallow,behavior,True,10,0.0,0.0,0.0,0.0,10,10,0.0,76.8593,80.11999999999999
repoqa-marshmallow-06,marshmallow,behavior,True,20,0.0,0.0,0.0,0.0,20,20,0.0,76.8593,80.11999999999999
repoqa-marshmallow-07,marshmallow,behavior,True,1,0.0,0.0,0.0,0.0,1,1,0.0,79.2573,162.63735
repoqa-marshmallow-07,marshmallow,behavior,True,5,0.2,1.0,0.5,0.6309297535714574,5,4,0.2,79.2573,162.63735
repoqa-marshmallow-07,marshmallow,behavior,True,10,0.1,1.0,0.5,0.6309297535714574,10,9,0.1,79.2573,162.63735
repoqa-marshmallow-07,marshmallow,behavior,True,20,0.05,1.0,0.5,0.6309297535714574,20,19,0.05,79.2573,162.63735
repoqa-marshmallow-08,marshmallow,behavior,True,1,0.0,0.0,0.0,0.0,1,1,0.0,61.9058,63.55802
repoqa-marshmallow-08,marshmallow,behavior,True,5,0.0,0.0,0.0,0.0,5,5,0.0,61.9058,63.55802
repoqa-marshmallow-08,marshmallow,behavior,True,10,0.0,0.0,0.0,0.0,10,10,0.0,61.9058,63.55802
repoqa-marshmallow-08,marshmallow,behavior,True,20,0.0,0.0,0.0,0.0,20,20,0.0,61.9058,63.55802
repoqa-marshmallow-09,marshmallow,behavior,True,1,0.0,0.0,0.0,0.0,1,1,0.0,66.4892,140.21648
repoqa-marshmallow-09,marshmallow,behavior,True,5,0.0,0.0,0.0,0.0,5,5,0.0,66.4892,140.21648
repoqa-marshmallow-09,marshmallow,behavior,True,10,0.0,0.0,0.0,0.0,10,10,0.0,66.4892,140.21648
repoqa-marshmallow-09,marshmallow,behavior,True,20,0.0,0.0,0.0,0.0,20,20,0.0,66.4892,140.21648
repoqa-marshmallow-10,marshmallow,behavior,True,1,0.0,0.0,0.0,0.0,1,1,0.0,98.5597,102.78709
repoqa-marshmallow-10,marshmallow,behavior,True,5,0.2,1.0,0.5,0.6309297535714574,5,4,0.2,98.5597,102.78709
repoqa-marshmallow-10,marshmallow,behavior,True,10,0.1,1.0,0.5,0.6309297535714574,10,9,0.1,98.5597,102.78709
repoqa-marshmallow-10,marshmallow,behavior,True,20,0.05,1.0,0.5,0.6309297535714574,20,19,0.05,98.5597,102.78709
