query_id,repository,category,answerable,k,precision,recall,mrr,ndcg,returned,unjudged,judged_fraction,latency_p50_ms,latency_p95_ms
repoqa-marshmallow-01,marshmallow,behavior,True,1,1.0,1.0,1.0,1.0,1,0,1.0,93.4094,103.29545
repoqa-marshmallow-01,marshmallow,behavior,True,5,0.2,1.0,1.0,1.0,5,4,0.2,93.4094,103.29545
repoqa-marshmallow-01,marshmallow,behavior,True,10,0.1,1.0,1.0,1.0,10,9,0.1,93.4094,103.29545
repoqa-marshmallow-01,marshmallow,behavior,True,20,0.05,1.0,1.0,1.0,20,19,0.05,93.4094,103.29545
repoqa-marshmallow-02,marshmallow,behavior,True,1,0.0,0.0,0.0,0.0,1,1,0.0,105.039,125.19855
repoqa-marshmallow-02,marshmallow,behavior,True,5,0.2,1.0,0.25,0.4306765580733931,5,4,0.2,105.039,125.19855
repoqa-marshmallow-02,marshmallow,behavior,True,10,0.1,1.0,0.25,0.4306765580733931,10,9,0.1,105.039,125.19855
repoqa-marshmallow-02,marshmallow,behavior,True,20,0.05,1.0,0.25,0.4306765580733931,20,19,0.05,105.039,125.19855
repoqa-marshmallow-03,marshmallow,behavior,True,1,0.0,0.0,0.0,0.0,1,1,0.0,74.1283,94.47514
repoqa-marshmallow-03,marshmallow,behavior,True,5,0.0,0.0,0.0,0.0,5,5,0.0,74.1283,94.47514
repoqa-marshmallow-03,marshmallow,behavior,True,10,0.0,0.0,0.0,0.0,10,10,0.0,74.1283,94.47514
repoqa-marshmallow-03,marshmallow,behavior,True,20,0.05,1.0,0.05,0.22767024869695296,20,19,0.05,74.1283,94.47514
repoqa-marshmallow-04,marshmallow,behavior,True,1,1.0,1.0,1.0,1.0,1,0,1.0,97.0939,168.60313
repoqa-marshmallow-04,marshmallow,behavior,True,5,0.2,1.0,1.0,1.0,5,4,0.2,97.0939,168.60313
repoqa-marshmallow-04,marshmallow,behavior,True,10,0.1,1.0,1.0,1.0,10,9,0.1,97.0939,168.60313
repoqa-marshmallow-04,marshmallow,behavior,True,20,0.05,1.0,1.0,1.0,20,19,0.05,97.0939,168.60313
repoqa-marshmallow-05,marshmallow,behavior,True,1,0.0,0.0,0.0,0.0,1,1,0.0,94.9606,98.63134
repoqa-marshmallow-05,marshmallow,behavior,True,5,0.0,0.0,0.0,0.0,5,5,0.0,94.9606,98.63134
repoqa-marshmallow-05,marshmallow,behavior,True,10,0.0,0.0,0.0,0.0,10,10,0.0,94.9606,98.63134
repoqa-marshmallow-05,marshmallow,behavior,True,20,0.0,0.0,0.0,0.0,20,20,0.0,94.9606,98.63134
repoqa-marshmallow-06,marshmallow,behavior,True,1,0.0,0.0,0.0,0.0,1,1,0.0,96.0552,111.99230999999999
repoqa-marshmallow-06,marshmallow,behavior,True,5,0.0,0.0,0.0,0.0,5,5,0.0,96.0552,111.99230999999999
repoqa-marshmallow-06,marshmallow,behavior,True,10,0.0,0.0,0.0,0.0,10,10,0.0,96.0552,111.99230999999999
repoqa-marshmallow-06,marshmallow,behavior,True,20,0.0,0.0,0.0,0.0,20,20,0.0,96.0552,111.99230999999999
repoqa-marshmallow-07,marshmallow,behavior,True,1,0.0,0.0,0.0,0.0,1,1,0.0,106.2296,108.14948
repoqa-marshmallow-07,marshmallow,behavior,True,5,0.2,1.0,0.5,0.6309297535714574,5,4,0.2,106.2296,108.14948
repoqa-marshmallow-07,marshmallow,behavior,True,10,0.1,1.0,0.5,0.6309297535714574,10,9,0.1,106.2296,108.14948
repoqa-marshmallow-07,marshmallow,behavior,True,20,0.05,1.0,0.5,0.6309297535714574,20,19,0.05,106.2296,108.14948
repoqa-marshmallow-08,marshmallow,behavior,True,1,0.0,0.0,0.0,0.0,1,1,0.0,70.8684,149.16930000000002
repoqa-marshmallow-08,marshmallow,behavior,True,5,0.0,0.0,0.0,0.0,5,5,0.0,70.8684,149.16930000000002
repoqa-marshmallow-08,marshmallow,behavior,True,10,0.0,0.0,0.0,0.0,10,10,0.0,70.8684,149.16930000000002
repoqa-marshmallow-08,marshmallow,behavior,True,20,0.0,0.0,0.0,0.0,20,20,0.0,70.8684,149.16930000000002
repoqa-marshmallow-09,marshmallow,behavior,True,1,0.0,0.0,0.0,0.0,1,1,0.0,81.4903,86.93260000000001
repoqa-marshmallow-09,marshmallow,behavior,True,5,0.0,0.0,0.0,0.0,5,5,0.0,81.4903,86.93260000000001
repoqa-marshmallow-09,marshmallow,behavior,True,10,0.0,0.0,0.0,0.0,10,10,0.0,81.4903,86.93260000000001
repoqa-marshmallow-09,marshmallow,behavior,True,20,0.0,0.0,0.0,0.0,20,20,0.0,81.4903,86.93260000000001
repoqa-marshmallow-10,marshmallow,behavior,True,1,0.0,0.0,0.0,0.0,1,1,0.0,93.3729,168.95004
repoqa-marshmallow-10,marshmallow,behavior,True,5,0.2,1.0,0.5,0.6309297535714574,5,4,0.2,93.3729,168.95004
repoqa-marshmallow-10,marshmallow,behavior,True,10,0.1,1.0,0.5,0.6309297535714574,10,9,0.1,93.3729,168.95004
repoqa-marshmallow-10,marshmallow,behavior,True,20,0.05,1.0,0.5,0.6309297535714574,20,19,0.05,93.3729,168.95004
