query_id,repository,category,answerable,k,precision,recall,mrr,ndcg,returned,unjudged,judged_fraction,latency_p50_ms,latency_p95_ms
repoqa-marshmallow-01,marshmallow,behavior,True,1,0.0,0.0,0.0,0.0,1,1,0.0,77.8906,79.12801
repoqa-marshmallow-01,marshmallow,behavior,True,5,0.2,1.0,0.5,0.6309297535714574,5,4,0.2,77.8906,79.12801
repoqa-marshmallow-01,marshmallow,behavior,True,10,0.1,1.0,0.5,0.6309297535714574,10,9,0.1,77.8906,79.12801
repoqa-marshmallow-01,marshmallow,behavior,True,20,0.05,1.0,0.5,0.6309297535714574,20,19,0.05,77.8906,79.12801
repoqa-marshmallow-02,marshmallow,behavior,True,1,0.0,0.0,0.0,0.0,1,1,0.0,92.7534,93.31491
repoqa-marshmallow-02,marshmallow,behavior,True,5,0.0,0.0,0.0,0.0,5,5,0.0,92.7534,93.31491
repoqa-marshmallow-02,marshmallow,behavior,True,10,0.1,1.0,0.16666666666666666,0.3562071871080222,10,9,0.1,92.7534,93.31491
repoqa-marshmallow-02,marshmallow,behavior,True,20,0.05,1.0,0.16666666666666666,0.3562071871080222,20,19,0.05,92.7534,93.31491
repoqa-marshmallow-03,marshmallow,behavior,True,1,0.0,0.0,0.0,0.0,1,1,0.0,69.2523,78.31683
repoqa-marshmallow-03,marshmallow,behavior,True,5,0.0,0.0,0.0,0.0,5,5,0.0,69.2523,78.31683
repoqa-marshmallow-03,marshmallow,behavior,True,10,0.0,0.0,0.0,0.0,10,10,0.0,69.2523,78.31683
repoqa-marshmallow-03,marshmallow,behavior,True,20,0.0,0.0,0.0,0.0,20,20,0.0,69.2523,78.31683
repoqa-marshmallow-04,marshmallow,behavior,True,1,1.0,1.0,1.0,1.0,1,0,1.0,83.7309,159.95541
repoqa-marshmallow-04,marshmallow,behavior,True,5,0.2,1.0,1.0,1.0,5,4,0.2,83.7309,159.95541
repoqa-marshmallow-04,marshmallow,behavior,True,10,0.1,1.0,1.0,1.0,10,9,0.1,83.7309,159.95541
repoqa-marshmallow-04,marshmallow,behavior,True,20,0.05,1.0,1.0,1.0,20,19,0.05,83.7309,159.95541
repoqa-marshmallow-05,marshmallow,behavior,True,1,0.0,0.0,0.0,0.0,1,1,0.0,103.2484,115.92481
repoqa-marshmallow-05,marshmallow,behavior,True,5,0.0,0.0,0.0,0.0,5,5,0.0,103.2484,115.92481
repoqa-marshmallow-05,marshmallow,behavior,True,10,0.0,0.0,0.0,0.0,10,10,0.0,103.2484,115.92481
repoqa-marshmallow-05,marshmallow,behavior,True,20,0.0,0.0,0.0,0.0,20,20,0.0,103.2484,115.92481
repoqa-marshmallow-06,marshmallow,behavior,True,1,0.0,0.0,0.0,0.0,1,1,0.0,77.5882,79.76602
repoqa-marshmallow-06,marshmallow,behavior,True,5,0.0,0.0,0.0,0.0,5,5,0.0,77.5882,79.76602
repoqa-marshmallow-06,marshmallow,behavior,True,10,0.0,0.0,0.0,0.0,10,10,0.0,77.5882,79.76602
repoqa-marshmallow-06,marshmallow,behavior,True,20,0.0,0.0,0.0,0.0,20,20,0.0,77.5882,79.76602
repoqa-marshmallow-07,marshmallow,behavior,True,1,0.0,0.0,0.0,0.0,1,1,0.0,75.7746,78.00111000000001
repoqa-marshmallow-07,marshmallow,behavior,True,5,0.2,1.0,0.3333333333333333,0.5,5,4,0.2,75.7746,78.00111000000001
repoqa-marshmallow-07,marshmallow,behavior,True,10,0.1,1.0,0.3333333333333333,0.5,10,9,0.1,75.7746,78.00111000000001
repoqa-marshmallow-07,marshmallow,behavior,True,20,0.05,1.0,0.3333333333333333,0.5,20,19,0.05,75.7746,78.00111000000001
repoqa-marshmallow-08,marshmallow,behavior,True,1,0.0,0.0,0.0,0.0,1,1,0.0,71.6549,72.90788
repoqa-marshmallow-08,marshmallow,behavior,True,5,0.0,0.0,0.0,0.0,5,5,0.0,71.6549,72.90788
repoqa-marshmallow-08,marshmallow,behavior,True,10,0.0,0.0,0.0,0.0,10,10,0.0,71.6549,72.90788
repoqa-marshmallow-08,marshmallow,behavior,True,20,0.0,0.0,0.0,0.0,20,20,0.0,71.6549,72.90788
repoqa-marshmallow-09,marshmallow,behavior,True,1,0.0,0.0,0.0,0.0,1,1,0.0,79.5934,151.59115
repoqa-marshmallow-09,marshmallow,behavior,True,5,0.0,0.0,0.0,0.0,5,5,0.0,79.5934,151.59115
repoqa-marshmallow-09,marshmallow,behavior,True,10,0.0,0.0,0.0,0.0,10,10,0.0,79.5934,151.59115
repoqa-marshmallow-09,marshmallow,behavior,True,20,0.0,0.0,0.0,0.0,20,20,0.0,79.5934,151.59115
repoqa-marshmallow-10,marshmallow,behavior,True,1,0.0,0.0,0.0,0.0,1,1,0.0,87.3342,175.23089999999996
repoqa-marshmallow-10,marshmallow,behavior,True,5,0.2,1.0,0.5,0.6309297535714574,5,4,0.2,87.3342,175.23089999999996
repoqa-marshmallow-10,marshmallow,behavior,True,10,0.1,1.0,0.5,0.6309297535714574,10,9,0.1,87.3342,175.23089999999996
repoqa-marshmallow-10,marshmallow,behavior,True,20,0.05,1.0,0.5,0.6309297535714574,20,19,0.05,87.3342,175.23089999999996
