query_id,repository,category,answerable,k,precision,recall,mrr,ndcg,returned,unjudged,judged_fraction,latency_p50_ms,latency_p95_ms
repoqa-marshmallow-01,marshmallow,behavior,True,1,1.0,1.0,1.0,1.0,1,0,1.0,94.5666,95.59421999999999
repoqa-marshmallow-01,marshmallow,behavior,True,5,0.2,1.0,1.0,1.0,5,4,0.2,94.5666,95.59421999999999
repoqa-marshmallow-01,marshmallow,behavior,True,10,0.1,1.0,1.0,1.0,10,9,0.1,94.5666,95.59421999999999
repoqa-marshmallow-01,marshmallow,behavior,True,20,0.05,1.0,1.0,1.0,20,19,0.05,94.5666,95.59421999999999
repoqa-marshmallow-02,marshmallow,behavior,True,1,0.0,0.0,0.0,0.0,1,1,0.0,119.3637,121.04975999999999
repoqa-marshmallow-02,marshmallow,behavior,True,5,0.2,1.0,0.25,0.4306765580733931,5,4,0.2,119.3637,121.04975999999999
repoqa-marshmallow-02,marshmallow,behavior,True,10,0.1,1.0,0.25,0.4306765580733931,10,9,0.1,119.3637,121.04975999999999
repoqa-marshmallow-02,marshmallow,behavior,True,20,0.05,1.0,0.25,0.4306765580733931,20,19,0.05,119.3637,121.04975999999999
repoqa-marshmallow-03,marshmallow,behavior,True,1,0.0,0.0,0.0,0.0,1,1,0.0,78.4075,84.30538
repoqa-marshmallow-03,marshmallow,behavior,True,5,0.0,0.0,0.0,0.0,5,5,0.0,78.4075,84.30538
repoqa-marshmallow-03,marshmallow,behavior,True,10,0.0,0.0,0.0,0.0,10,10,0.0,78.4075,84.30538
repoqa-marshmallow-03,marshmallow,behavior,True,20,0.05,1.0,0.05,0.22767024869695296,20,19,0.05,78.4075,84.30538
repoqa-marshmallow-04,marshmallow,behavior,True,1,1.0,1.0,1.0,1.0,1,0,1.0,104.1581,192.6029
repoqa-marshmallow-04,marshmallow,behavior,True,5,0.2,1.0,1.0,1.0,5,4,0.2,104.1581,192.6029
repoqa-marshmallow-04,marshmallow,behavior,True,10,0.1,1.0,1.0,1.0,10,9,0.1,104.1581,192.6029
repoqa-marshmallow-04,marshmallow,behavior,True,20,0.05,1.0,1.0,1.0,20,19,0.05,104.1581,192.6029
repoqa-marshmallow-05,marshmallow,behavior,True,1,0.0,0.0,0.0,0.0,1,1,0.0,109.639,112.44106
repoqa-marshmallow-05,marshmallow,behavior,True,5,0.0,0.0,0.0,0.0,5,5,0.0,109.639,112.44106
repoqa-marshmallow-05,marshmallow,behavior,True,10,0.0,0.0,0.0,0.0,10,10,0.0,109.639,112.44106
repoqa-marshmallow-05,marshmallow,behavior,True,20,0.0,0.0,0.0,0.0,20,20,0.0,109.639,112.44106
repoqa-marshmallow-06,marshmallow,behavior,True,1,0.0,0.0,0.0,0.0,1,1,0.0,102.1707,110.97279
repoqa-marshmallow-06,marshmallow,behavior,True,5,0.0,0.0,0.0,0.0,5,5,0.0,102.1707,110.97279
repoqa-marshmallow-06,marshmallow,behavior,True,10,0.0,0.0,0.0,0.0,10,10,0.0,102.1707,110.97279
repoqa-marshmallow-06,marshmallow,behavior,True,20,0.0,0.0,0.0,0.0,20,20,0.0,102.1707,110.97279
repoqa-marshmallow-07,marshmallow,behavior,True,1,0.0,0.0,0.0,0.0,1,1,0.0,88.5295,100.47547
repoqa-marshmallow-07,marshmallow,behavior,True,5,0.2,1.0,0.5,0.6309297535714574,5,4,0.2,88.5295,100.47547
repoqa-marshmallow-07,marshmallow,behavior,True,10,0.1,1.0,0.5,0.6309297535714574,10,9,0.1,88.5295,100.47547
repoqa-marshmallow-07,marshmallow,behavior,True,20,0.05,1.0,0.5,0.6309297535714574,20,19,0.05,88.5295,100.47547
repoqa-marshmallow-08,marshmallow,behavior,True,1,0.0,0.0,0.0,0.0,1,1,0.0,93.2753,173.00243
repoqa-marshmallow-08,marshmallow,behavior,True,5,0.0,0.0,0.0,0.0,5,5,0.0,93.2753,173.00243
repoqa-marshmallow-08,marshmallow,behavior,True,10,0.0,0.0,0.0,0.0,10,10,0.0,93.2753,173.00243
repoqa-marshmallow-08,marshmallow,behavior,True,20,0.0,0.0,0.0,0.0,20,20,0.0,93.2753,173.00243
repoqa-marshmallow-09,marshmallow,behavior,True,1,0.0,0.0,0.0,0.0,1,1,0.0,90.799,101.55409
repoqa-marshmallow-09,marshmallow,behavior,True,5,0.0,0.0,0.0,0.0,5,5,0.0,90.799,101.55409
repoqa-marshmallow-09,marshmallow,behavior,True,10,0.0,0.0,0.0,0.0,10,10,0.0,90.799,101.55409
repoqa-marshmallow-09,marshmallow,behavior,True,20,0.0,0.0,0.0,0.0,20,20,0.0,90.799,101.55409
repoqa-marshmallow-10,marshmallow,behavior,True,1,0.0,0.0,0.0,0.0,1,1,0.0,91.095,190.22775000000001
repoqa-marshmallow-10,marshmallow,behavior,True,5,0.2,1.0,0.5,0.6309297535714574,5,4,0.2,91.095,190.22775000000001
repoqa-marshmallow-10,marshmallow,behavior,True,10,0.1,1.0,0.5,0.6309297535714574,10,9,0.1,91.095,190.22775000000001
repoqa-marshmallow-10,marshmallow,behavior,True,20,0.05,1.0,0.5,0.6309297535714574,20,19,0.05,91.095,190.22775000000001
