query_id,repository,category,answerable,k,precision,recall,mrr,ndcg,returned,unjudged,judged_fraction,latency_p50_ms,latency_p95_ms
repoqa-marshmallow-01,marshmallow,behavior,True,1,0.0,0.0,0.0,0.0,1,1,0.0,83.3719,84.36774999999999
repoqa-marshmallow-01,marshmallow,behavior,True,5,0.2,1.0,0.5,0.6309297535714574,5,4,0.2,83.3719,84.36774999999999
repoqa-marshmallow-01,marshmallow,behavior,True,10,0.1,1.0,0.5,0.6309297535714574,10,9,0.1,83.3719,84.36774999999999
repoqa-marshmallow-01,marshmallow,behavior,True,20,0.05,1.0,0.5,0.6309297535714574,20,19,0.05,83.3719,84.36774999999999
repoqa-marshmallow-02,marshmallow,behavior,True,1,0.0,0.0,0.0,0.0,1,1,0.0,92.588,105.25927999999999
repoqa-marshmallow-02,marshmallow,behavior,True,5,0.0,0.0,0.0,0.0,5,5,0.0,92.588,105.25927999999999
repoqa-marshmallow-02,marshmallow,behavior,True,10,0.1,1.0,0.16666666666666666,0.3562071871080222,10,9,0.1,92.588,105.25927999999999
repoqa-marshmallow-02,marshmallow,behavior,True,20,0.05,1.0,0.16666666666666666,0.3562071871080222,20,19,0.05,92.588,105.25927999999999
repoqa-marshmallow-03,marshmallow,behavior,True,1,0.0,0.0,0.0,0.0,1,1,0.0,71.2273,74.66782
repoqa-marshmallow-03,marshmallow,behavior,True,5,0.0,0.0,0.0,0.0,5,5,0.0,71.2273,74.66782
repoqa-marshmallow-03,marshmallow,behavior,True,10,0.0,0.0,0.0,0.0,10,10,0.0,71.2273,74.66782
repoqa-marshmallow-03,marshmallow,behavior,True,20,0.0,0.0,0.0,0.0,20,20,0.0,71.2273,74.66782
repoqa-marshmallow-04,marshmallow,behavior,True,1,1.0,1.0,1.0,1.0,1,0,1.0,105.2517,170.11983
repoqa-marshmallow-04,marshmallow,behavior,True,5,0.2,1.0,1.0,1.0,5,4,0.2,105.2517,170.11983
repoqa-marshmallow-04,marshmallow,behavior,True,10,0.1,1.0,1.0,1.0,10,9,0.1,105.2517,170.11983
repoqa-marshmallow-04,marshmallow,behavior,True,20,0.05,1.0,1.0,1.0,20,19,0.05,105.2517,170.11983
repoqa-marshmallow-05,marshmallow,behavior,True,1,0.0,0.0,0.0,0.0,1,1,0.0,86.8127,87.53945
repoqa-marshmallow-05,marshmallow,behavior,True,5,0.0,0.0,0.0,0.0,5,5,0.0,86.8127,87.53945
repoqa-marshmallow-05,marshmallow,behavior,True,10,0.0,0.0,0.0,0.0,10,10,0.0,86.8127,87.53945
repoqa-marshmallow-05,marshmallow,behavior,True,20,0.0,0.0,0.0,0.0,20,20,0.0,86.8127,87.53945
repoqa-marshmallow-06,marshmallow,behavior,True,1,0.0,0.0,0.0,0.0,1,1,0.0,86.325,90.41577
repoqa-marshmallow-06,marshmallow,behavior,True,5,0.0,0.0,0.0,0.0,5,5,0.0,86.325,90.41577
repoqa-marshmallow-06,marshmallow,behavior,True,10,0.0,0.0,0.0,0.0,10,10,0.0,86.325,90.41577
repoqa-marshmallow-06,marshmallow,behavior,True,20,0.0,0.0,0.0,0.0,20,20,0.0,86.325,90.41577
repoqa-marshmallow-07,marshmallow,behavior,True,1,0.0,0.0,0.0,0.0,1,1,0.0,87.5005,95.98237
repoqa-marshmallow-07,marshmallow,behavior,True,5,0.2,1.0,0.3333333333333333,0.5,5,4,0.2,87.5005,95.98237
repoqa-marshmallow-07,marshmallow,behavior,True,10,0.1,1.0,0.3333333333333333,0.5,10,9,0.1,87.5005,95.98237
repoqa-marshmallow-07,marshmallow,behavior,True,20,0.05,1.0,0.3333333333333333,0.5,20,19,0.05,87.5005,95.98237
repoqa-marshmallow-08,marshmallow,behavior,True,1,0.0,0.0,0.0,0.0,1,1,0.0,66.1705,67.87483
repoqa-marshmallow-08,marshmallow,behavior,True,5,0.0,0.0,0.0,0.0,5,5,0.0,66.1705,67.87483
repoqa-marshmallow-08,marshmallow,behavior,True,10,0.0,0.0,0.0,0.0,10,10,0.0,66.1705,67.87483
repoqa-marshmallow-08,marshmallow,behavior,True,20,0.0,0.0,0.0,0.0,20,20,0.0,66.1705,67.87483
repoqa-marshmallow-09,marshmallow,behavior,True,1,0.0,0.0,0.0,0.0,1,1,0.0,88.6949,163.10474
repoqa-marshmallow-09,marshmallow,behavior,True,5,0.0,0.0,0.0,0.0,5,5,0.0,88.6949,163.10474
repoqa-marshmallow-09,marshmallow,behavior,True,10,0.0,0.0,0.0,0.0,10,10,0.0,88.6949,163.10474
repoqa-marshmallow-09,marshmallow,behavior,True,20,0.0,0.0,0.0,0.0,20,20,0.0,88.6949,163.10474
repoqa-marshmallow-10,marshmallow,behavior,True,1,0.0,0.0,0.0,0.0,1,1,0.0,83.6153,156.7529
repoqa-marshmallow-10,marshmallow,behavior,True,5,0.2,1.0,0.5,0.6309297535714574,5,4,0.2,83.6153,156.7529
repoqa-marshmallow-10,marshmallow,behavior,True,10,0.1,1.0,0.5,0.6309297535714574,10,9,0.1,83.6153,156.7529
repoqa-marshmallow-10,marshmallow,behavior,True,20,0.05,1.0,0.5,0.6309297535714574,20,19,0.05,83.6153,156.7529
