query_id,repository,category,answerable,k,precision,recall,mrr,ndcg,returned,unjudged,judged_fraction,latency_p50_ms,latency_p95_ms
repoqa-marshmallow-01,marshmallow,behavior,True,1,0.0,0.0,0.0,0.0,1,1,0.0,105.0536,113.21200999999999
repoqa-marshmallow-01,marshmallow,behavior,True,5,0.2,1.0,0.5,0.6309297535714574,5,4,0.2,105.0536,113.21200999999999
repoqa-marshmallow-01,marshmallow,behavior,True,10,0.1,1.0,0.5,0.6309297535714574,10,9,0.1,105.0536,113.21200999999999
repoqa-marshmallow-01,marshmallow,behavior,True,20,0.05,1.0,0.5,0.6309297535714574,20,19,0.05,105.0536,113.21200999999999
repoqa-marshmallow-02,marshmallow,behavior,True,1,0.0,0.0,0.0,0.0,1,1,0.0,103.0874,106.04956999999999
repoqa-marshmallow-02,marshmallow,behavior,True,5,0.0,0.0,0.0,0.0,5,5,0.0,103.0874,106.04956999999999
repoqa-marshmallow-02,marshmallow,behavior,True,10,0.1,1.0,0.16666666666666666,0.3562071871080222,10,9,0.1,103.0874,106.04956999999999
repoqa-marshmallow-02,marshmallow,behavior,True,20,0.05,1.0,0.16666666666666666,0.3562071871080222,20,19,0.05,103.0874,106.04956999999999
repoqa-marshmallow-03,marshmallow,behavior,True,1,0.0,0.0,0.0,0.0,1,1,0.0,91.3669,104.86366
repoqa-marshmallow-03,marshmallow,behavior,True,5,0.0,0.0,0.0,0.0,5,5,0.0,91.3669,104.86366
repoqa-marshmallow-03,marshmallow,behavior,True,10,0.0,0.0,0.0,0.0,10,10,0.0,91.3669,104.86366
repoqa-marshmallow-03,marshmallow,behavior,True,20,0.0,0.0,0.0,0.0,20,20,0.0,91.3669,104.86366
repoqa-marshmallow-04,marshmallow,behavior,True,1,1.0,1.0,1.0,1.0,1,0,1.0,127.6812,204.48395999999997
repoqa-marshmallow-04,marshmallow,behavior,True,5,0.2,1.0,1.0,1.0,5,4,0.2,127.6812,204.48395999999997
repoqa-marshmallow-04,marshmallow,behavior,True,10,0.1,1.0,1.0,1.0,10,9,0.1,127.6812,204.48395999999997
repoqa-marshmallow-04,marshmallow,behavior,True,20,0.05,1.0,1.0,1.0,20,19,0.05,127.6812,204.48395999999997
repoqa-marshmallow-05,marshmallow,behavior,True,1,0.0,0.0,0.0,0.0,1,1,0.0,121.78,122.19391
repoqa-marshmallow-05,marshmallow,behavior,True,5,0.0,0.0,0.0,0.0,5,5,0.0,121.78,122.19391
repoqa-marshmallow-05,marshmallow,behavior,True,10,0.0,0.0,0.0,0.0,10,10,0.0,121.78,122.19391
repoqa-marshmallow-05,marshmallow,behavior,True,20,0.0,0.0,0.0,0.0,20,20,0.0,121.78,122.19391
repoqa-marshmallow-06,marshmallow,behavior,True,1,0.0,0.0,0.0,0.0,1,1,0.0,107.8671,109.35011999999999
repoqa-marshmallow-06,marshmallow,behavior,True,5,0.0,0.0,0.0,0.0,5,5,0.0,107.8671,109.35011999999999
repoqa-marshmallow-06,marshmallow,behavior,True,10,0.0,0.0,0.0,0.0,10,10,0.0,107.8671,109.35011999999999
repoqa-marshmallow-06,marshmallow,behavior,True,20,0.0,0.0,0.0,0.0,20,20,0.0,107.8671,109.35011999999999
repoqa-marshmallow-07,marshmallow,behavior,True,1,0.0,0.0,0.0,0.0,1,1,0.0,89.6861,95.19329
repoqa-marshmallow-07,marshmallow,behavior,True,5,0.2,1.0,0.3333333333333333,0.5,5,4,0.2,89.6861,95.19329
repoqa-marshmallow-07,marshmallow,behavior,True,10,0.1,1.0,0.3333333333333333,0.5,10,9,0.1,89.6861,95.19329
repoqa-marshmallow-07,marshmallow,behavior,True,20,0.05,1.0,0.3333333333333333,0.5,20,19,0.05,89.6861,95.19329
repoqa-marshmallow-08,marshmallow,behavior,True,1,0.0,0.0,0.0,0.0,1,1,0.0,76.8775,166.56079
repoqa-marshmallow-08,marshmallow,behavior,True,5,0.0,0.0,0.0,0.0,5,5,0.0,76.8775,166.56079
repoqa-marshmallow-08,marshmallow,behavior,True,10,0.0,0.0,0.0,0.0,10,10,0.0,76.8775,166.56079
repoqa-marshmallow-08,marshmallow,behavior,True,20,0.0,0.0,0.0,0.0,20,20,0.0,76.8775,166.56079
repoqa-marshmallow-09,marshmallow,behavior,True,1,0.0,0.0,0.0,0.0,1,1,0.0,83.7965,88.32521
repoqa-marshmallow-09,marshmallow,behavior,True,5,0.0,0.0,0.0,0.0,5,5,0.0,83.7965,88.32521
repoqa-marshmallow-09,marshmallow,behavior,True,10,0.0,0.0,0.0,0.0,10,10,0.0,83.7965,88.32521
repoqa-marshmallow-09,marshmallow,behavior,True,20,0.0,0.0,0.0,0.0,20,20,0.0,83.7965,88.32521
repoqa-marshmallow-10,marshmallow,behavior,True,1,0.0,0.0,0.0,0.0,1,1,0.0,94.5419,177.62036
repoqa-marshmallow-10,marshmallow,behavior,True,5,0.2,1.0,0.5,0.6309297535714574,5,4,0.2,94.5419,177.62036
repoqa-marshmallow-10,marshmallow,behavior,True,10,0.1,1.0,0.5,0.6309297535714574,10,9,0.1,94.5419,177.62036
repoqa-marshmallow-10,marshmallow,behavior,True,20,0.05,1.0,0.5,0.6309297535714574,20,19,0.05,94.5419,177.62036
