query_id,repository,category,answerable,k,precision,recall,mrr,ndcg,returned,unjudged,judged_fraction,latency_p50_ms,latency_p95_ms
repoqa-marshmallow-01,marshmallow,behavior,True,1,1.0,1.0,1.0,1.0,1,0,1.0,91.0403,91.25009
repoqa-marshmallow-01,marshmallow,behavior,True,5,0.2,1.0,1.0,1.0,5,4,0.2,91.0403,91.25009
repoqa-marshmallow-01,marshmallow,behavior,True,10,0.1,1.0,1.0,1.0,10,9,0.1,91.0403,91.25009
repoqa-marshmallow-01,marshmallow,behavior,True,20,0.05,1.0,1.0,1.0,20,19,0.05,91.0403,91.25009
repoqa-marshmallow-02,marshmallow,behavior,True,1,0.0,0.0,0.0,0.0,1,1,0.0,81.2322,87.52824
repoqa-marshmallow-02,marshmallow,behavior,True,5,0.2,1.0,0.25,0.4306765580733931,5,4,0.2,81.2322,87.52824
repoqa-marshmallow-02,marshmallow,behavior,True,10,0.1,1.0,0.25,0.4306765580733931,10,9,0.1,81.2322,87.52824
repoqa-marshmallow-02,marshmallow,behavior,True,20,0.05,1.0,0.25,0.4306765580733931,20,19,0.05,81.2322,87.52824
repoqa-marshmallow-03,marshmallow,behavior,True,1,0.0,0.0,0.0,0.0,1,1,0.0,65.4394,66.48025
repoqa-marshmallow-03,marshmallow,behavior,True,5,0.0,0.0,0.0,0.0,5,5,0.0,65.4394,66.48025
repoqa-marshmallow-03,marshmallow,behavior,True,10,0.0,0.0,0.0,0.0,10,10,0.0,65.4394,66.48025
repoqa-marshmallow-03,marshmallow,behavior,True,20,0.05,1.0,0.05,0.22767024869695296,20,19,0.05,65.4394,66.48025
repoqa-marshmallow-04,marshmallow,behavior,True,1,1.0,1.0,1.0,1.0,1,0,1.0,92.0344,92.57881
repoqa-marshmallow-04,marshmallow,behavior,True,5,0.2,1.0,1.0,1.0,5,4,0.2,92.0344,92.57881
repoqa-marshmallow-04,marshmallow,behavior,True,10,0.1,1.0,1.0,1.0,10,9,0.1,92.0344,92.57881
repoqa-marshmallow-04,marshmallow,behavior,True,20,0.05,1.0,1.0,1.0,20,19,0.05,92.0344,92.57881
repoqa-marshmallow-05,marshmallow,behavior,True,1,0.0,0.0,0.0,0.0,1,1,0.0,87.5087,170.89954999999998
repoqa-marshmallow-05,marshmallow,behavior,True,5,0.0,0.0,0.0,0.0,5,5,0.0,87.5087,170.89954999999998
repoqa-marshmallow-05,marshmallow,behavior,True,10,0.0,0.0,0.0,0.0,10,10,0.0,87.5087,170.89954999999998
repoqa-marshmallow-05,marshmallow,behavior,True,20,0.0,0.0,0.0,0.0,20,20,0.0,87.5087,170.89954999999998
repoqa-marshmallow-06,marshmallow,behavior,True,1,0.0,0.0,0.0,0.0,1,1,0.0,69.7994,72.37691000000001
repoqa-marshmallow-06,marshmallow,behavior,True,5,0.0,0.0,0.0,0.0,5,5,0.0,69.7994,72.37691000000001
repoqa-marshmallow-06,marshmallow,behavior,True,10,0.0,0.0,0.0,0.0,10,10,0.0,69.7994,72.37691000000001
repoqa-marshmallow-06,marshmallow,behavior,True,20,0.0,0.0,0.0,0.0,20,20,0.0,69.7994,72.37691000000001
repoqa-marshmallow-07,marshmallow,behavior,True,1,0.0,0.0,0.0,0.0,1,1,0.0,72.6024,160.66631999999998
repoqa-marshmallow-07,marshmallow,behavior,True,5,0.2,1.0,0.5,0.6309297535714574,5,4,0.2,72.6024,160.66631999999998
repoqa-marshmallow-07,marshmallow,behavior,True,10,0.1,1.0,0.5,0.6309297535714574,10,9,0.1,72.6024,160.66631999999998
repoqa-marshmallow-07,marshmallow,behavior,True,20,0.05,1.0,0.5,0.6309297535714574,20,19,0.05,72.6024,160.66631999999998
repoqa-marshmallow-08,marshmallow,behavior,True,1,0.0,0.0,0.0,0.0,1,1,0.0,66.5393,74.54795
repoqa-marshmallow-08,marshmallow,behavior,True,5,0.0,0.0,0.0,0.0,5,5,0.0,66.5393,74.54795
repoqa-marshmallow-08,marshmallow,behavior,True,10,0.0,0.0,0.0,0.0,10,10,0.0,66.5393,74.54795
repoqa-marshmallow-08,marshmallow,behavior,True,20,0.0,0.0,0.0,0.0,20,20,0.0,66.5393,74.54795
repoqa-marshmallow-09,marshmallow,behavior,True,1,0.0,0.0,0.0,0.0,1,1,0.0,85.99,153.58972
repoqa-marshmallow-09,marshmallow,behavior,True,5,0.0,0.0,0.0,0.0,5,5,0.0,85.99,153.58972
repoqa-marshmallow-09,marshmallow,behavior,True,10,0.0,0.0,0.0,0.0,10,10,0.0,85.99,153.58972
repoqa-marshmallow-09,marshmallow,behavior,True,20,0.0,0.0,0.0,0.0,20,20,0.0,85.99,153.58972
repoqa-marshmallow-10,marshmallow,behavior,True,1,0.0,0.0,0.0,0.0,1,1,0.0,75.7834,78.18693999999999
repoqa-marshmallow-10,marshmallow,behavior,True,5,0.2,1.0,0.5,0.6309297535714574,5,4,0.2,75.7834,78.18693999999999
repoqa-marshmallow-10,marshmallow,behavior,True,10,0.1,1.0,0.5,0.6309297535714574,10,9,0.1,75.7834,78.18693999999999
repoqa-marshmallow-10,marshmallow,behavior,True,20,0.05,1.0,0.5,0.6309297535714574,20,19,0.05,75.7834,78.18693999999999
