query_id,repository,category,answerable,k,precision,recall,mrr,ndcg,returned,unjudged,judged_fraction,latency_p50_ms,latency_p95_ms
repoqa-marshmallow-01,marshmallow,behavior,True,1,0.0,0.0,0.0,0.0,1,1,0.0,328.8249,409.72472999999997
repoqa-marshmallow-01,marshmallow,behavior,True,5,0.0,0.0,0.0,0.0,5,5,0.0,328.8249,409.72472999999997
repoqa-marshmallow-01,marshmallow,behavior,True,10,0.1,1.0,0.16666666666666666,0.3562071871080222,10,9,0.1,328.8249,409.72472999999997
repoqa-marshmallow-01,marshmallow,behavior,True,20,0.05,1.0,0.16666666666666666,0.3562071871080222,20,19,0.05,328.8249,409.72472999999997
repoqa-marshmallow-02,marshmallow,behavior,True,1,0.0,0.0,0.0,0.0,1,1,0.0,386.0474,400.95257
repoqa-marshmallow-02,marshmallow,behavior,True,5,0.2,1.0,0.3333333333333333,0.5,5,4,0.2,386.0474,400.95257
repoqa-marshmallow-02,marshmallow,behavior,True,10,0.1,1.0,0.3333333333333333,0.5,10,9,0.1,386.0474,400.95257
repoqa-marshmallow-02,marshmallow,behavior,True,20,0.05,1.0,0.3333333333333333,0.5,20,19,0.05,386.0474,400.95257
repoqa-marshmallow-03,marshmallow,behavior,True,1,0.0,0.0,0.0,0.0,1,1,0.0,225.5407,227.49694
repoqa-marshmallow-03,marshmallow,behavior,True,5,0.2,1.0,0.5,0.6309297535714574,5,4,0.2,225.5407,227.49694
repoqa-marshmallow-03,marshmallow,behavior,True,10,0.1,1.0,0.5,0.6309297535714574,10,9,0.1,225.5407,227.49694
repoqa-marshmallow-03,marshmallow,behavior,True,20,0.05,1.0,0.5,0.6309297535714574,20,19,0.05,225.5407,227.49694
repoqa-marshmallow-04,marshmallow,behavior,True,1,0.0,0.0,0.0,0.0,1,1,0.0,371.2373,453.02579000000003
repoqa-marshmallow-04,marshmallow,behavior,True,5,0.2,1.0,0.2,0.38685280723454163,5,4,0.2,371.2373,453.02579000000003
repoqa-marshmallow-04,marshmallow,behavior,True,10,0.1,1.0,0.2,0.38685280723454163,10,9,0.1,371.2373,453.02579000000003
repoqa-marshmallow-04,marshmallow,behavior,True,20,0.05,1.0,0.2,0.38685280723454163,20,19,0.05,371.2373,453.02579000000003
repoqa-marshmallow-05,marshmallow,behavior,True,1,0.0,0.0,0.0,0.0,1,1,0.0,402.5824,415.70277999999996
repoqa-marshmallow-05,marshmallow,behavior,True,5,0.0,0.0,0.0,0.0,5,5,0.0,402.5824,415.70277999999996
repoqa-marshmallow-05,marshmallow,behavior,True,10,0.0,0.0,0.0,0.0,10,10,0.0,402.5824,415.70277999999996
repoqa-marshmallow-05,marshmallow,behavior,True,20,0.0,0.0,0.0,0.0,20,20,0.0,402.5824,415.70277999999996
repoqa-marshmallow-06,marshmallow,behavior,True,1,0.0,0.0,0.0,0.0,1,1,0.0,349.1267,368.19473
repoqa-marshmallow-06,marshmallow,behavior,True,5,0.0,0.0,0.0,0.0,5,5,0.0,349.1267,368.19473
repoqa-marshmallow-06,marshmallow,behavior,True,10,0.0,0.0,0.0,0.0,10,10,0.0,349.1267,368.19473
repoqa-marshmallow-06,marshmallow,behavior,True,20,0.0,0.0,0.0,0.0,20,20,0.0,349.1267,368.19473
repoqa-marshmallow-07,marshmallow,behavior,True,1,1.0,1.0,1.0,1.0,1,0,1.0,304.7476,304.76956
repoqa-marshmallow-07,marshmallow,behavior,True,5,0.2,1.0,1.0,1.0,5,4,0.2,304.7476,304.76956
repoqa-marshmallow-07,marshmallow,behavior,True,10,0.1,1.0,1.0,1.0,10,9,0.1,304.7476,304.76956
repoqa-marshmallow-07,marshmallow,behavior,True,20,0.05,1.0,1.0,1.0,20,19,0.05,304.7476,304.76956
repoqa-marshmallow-08,marshmallow,behavior,True,1,0.0,0.0,0.0,0.0,1,1,0.0,218.8176,231.12348
repoqa-marshmallow-08,marshmallow,behavior,True,5,0.0,0.0,0.0,0.0,5,5,0.0,218.8176,231.12348
repoqa-marshmallow-08,marshmallow,behavior,True,10,0.0,0.0,0.0,0.0,10,10,0.0,218.8176,231.12348
repoqa-marshmallow-08,marshmallow,behavior,True,20,0.0,0.0,0.0,0.0,20,20,0.0,218.8176,231.12348
repoqa-marshmallow-09,marshmallow,behavior,True,1,0.0,0.0,0.0,0.0,1,1,0.0,300.481,374.79571
repoqa-marshmallow-09,marshmallow,behavior,True,5,0.0,0.0,0.0,0.0,5,5,0.0,300.481,374.79571
repoqa-marshmallow-09,marshmallow,behavior,True,10,0.0,0.0,0.0,0.0,10,10,0.0,300.481,374.79571
repoqa-marshmallow-09,marshmallow,behavior,True,20,0.0,0.0,0.0,0.0,20,20,0.0,300.481,374.79571
repoqa-marshmallow-10,marshmallow,behavior,True,1,0.0,0.0,0.0,0.0,1,1,0.0,311.7022,329.79967
repoqa-marshmallow-10,marshmallow,behavior,True,5,0.2,1.0,0.2,0.38685280723454163,5,4,0.2,311.7022,329.79967
repoqa-marshmallow-10,marshmallow,behavior,True,10,0.1,1.0,0.2,0.38685280723454163,10,9,0.1,311.7022,329.79967
repoqa-marshmallow-10,marshmallow,behavior,True,20,0.05,1.0,0.2,0.38685280723454163,20,19,0.05,311.7022,329.79967
